测量里程,中线北坐标X,中线东坐标Y,中线高程H
279568,3805301.029,464412.8911,43.607785
279569,3805301.238,464411.9131,43.607642
279570,3805301.447,464410.9351,43.607758
279571,3805301.655,464409.9572,43.608055
279572,3805301.864,464408.9792,43.608141
279573,3805302.073,464408.0012,43.608288
279574,3805302.281,464407.0232,43.608484
279575,3805302.49,464406.0452,43.608601
279576,3805302.699,464405.0673,43.608747
279577,3805302.908,464404.0893,43.609134
279578,3805303.117,464403.1114,43.60939
279579,3805303.326,464402.1335,43.609406
279580,3805303.534,464401.1555,43.609413
279581,3805303.743,464400.1775,43.609839
279582,3805303.952,464399.1995,43.610106
279583,3805304.161,464398.2216,43.610232
279584,3805304.369,464397.2436,43.610379
279585,3805304.578,464396.2657,43.610415
279586,3805304.787,464395.2877,43.610412
279587,3805304.996,464394.3097,43.609888
279588,3805305.205,464393.3318,43.610145
279589,3805305.413,464392.3538,43.610681
279590,3805305.622,464391.3759,43.610987
279591,3805305.831,464390.3979,43.610714
279592,3805306.04,464389.42,43.61056
279593,3805306.249,464388.442,43.610857
279594,3805306.458,464387.4641,43.611093
279595,3805306.667,464386.4862,43.61119
279596,3805306.876,464385.5082,43.611116
279597,3805307.085,464384.5303,43.611353
279598,3805307.293,464383.5524,43.611619
279599,3805307.502,464382.5744,43.611806
279600,3805307.711,464381.5965,43.612092
279601,3805307.92,464380.6186,43.612259
279602,3805308.129,464379.6406,43.612285
279603,3805308.338,464378.6626,43.612391
279604,3805308.546,464377.6846,43.612498
279605,3805308.755,464376.7067,43.612734
279606,3805308.964,464375.7287,43.613021
279607,3805309.172,464374.7507,43.613217
279608,3805309.381,464373.7728,43.613464
279609,3805309.591,464372.7949,43.6137
279610,3805309.8,464371.817,43.614067
279611,3805310.008,464370.839,43.614253
279612,3805310.217,464369.8611,43.6145
279613,3805310.426,464368.8831,43.614776
279614,3805310.634,464367.9051,43.615452
279615,3805310.843,464366.9271,43.615839
279616,3805311.052,464365.9492,43.616315
279617,3805311.261,464364.9713,43.616572
279618,3805311.47,464363.9933,43.616808
279619,3805311.679,464363.0154,43.617045
279620,3805311.888,464362.0375,43.617511
279621,3805312.096,464361.0595,43.617778
279622,3805312.305,464360.0815,43.617884
279623,3805312.514,464359.1035,43.617941
279624,3805312.723,464358.1256,43.618207
279625,3805312.932,464357.1476,43.618884
279626,3805313.14,464356.1696,43.61952
279627,3805313.349,464355.1917,43.619726
279628,3805313.558,464354.2137,43.619603
279629,3805313.767,464353.2358,43.619869
279630,3805313.976,464352.2578,43.620496
279631,3805314.185,464351.2799,43.620952
279632,3805314.393,464350.3019,43.621219
279633,3805314.602,464349.324,43.621655
279634,3805314.811,464348.346,43.622302
279635,3805315.02,464347.368,43.622778
279636,3805315.228,464346.39,43.622915
279637,3805315.437,464345.412,43.623221
279638,3805315.645,464344.434,43.623797
279639,3805315.854,464343.456,43.623924
279640,3805316.063,464342.478,43.62406
279641,3805316.271,464341.5001,43.624807
279642,3805316.48,464340.5221,43.625523
279643,3805316.689,464339.5442,43.62594
279644,3805316.898,464338.5662,43.626346
279644.678,3805317.039,464337.9032,43.626663
279645,3805317.107,464337.5883,43.626813
279646,3805317.316,464336.6103,43.627339
279647,3805317.524,464335.6323,43.627806
279648,3805317.733,464334.6543,43.628062
279649,3805317.942,464333.6764,43.628149
279650,3805318.151,464332.6985,43.628375
279651,3805318.36,464331.7205,43.628951
279652,3805318.568,464330.7425,43.629718
279653,3805318.777,464329.7645,43.630354
279654,3805318.986,464328.7866,43.630771
279655,3805319.194,464327.8086,43.631087
279656,3805319.403,464326.8306,43.631474
