测量里程,中线北坐标X,中线东坐标Y,中线高程H
15382.988,3632447.253,508027.0489,26.2899
15383.985,3632446.306,508026.7365,26.29
15384.992,3632445.35,508026.421,26.2891
15385.993,3632444.4,508026.107,26.2883
15386.984,3632443.458,508025.796,26.2878
15387.99,3632442.503,508025.4806,26.2873
15388.984,3632441.559,508025.169,26.2858
15389.988,3632440.606,508024.8548,26.2841
15390.997,3632439.648,508024.5386,26.284
15391.992,3632438.703,508024.226,26.2842
15392.988,3632437.757,508023.9139,26.2842
15393.983,3632436.812,508023.6023,26.2838
15394.992,3632435.854,508023.2867,26.2834
15395.988,3632434.908,508022.9747,26.283
15396.989,3632433.958,508022.6611,26.2823
15397.99,3632433.006,508022.3474,26.2816
15398.985,3632432.062,508022.036,26.2809
15399.99,3632431.108,508021.7214,26.2806
15400.989,3632430.159,508021.4087,26.2802
15401.984,3632429.213,508021.0969,26.2797
15402.995,3632428.253,508020.78,26.279
15403.989,3632427.309,508020.4688,26.278
15404.988,3632426.361,508020.1564,26.2773
15405.983,3632425.416,508019.8448,26.2769
15406.992,3632424.457,508019.5289,26.277
15407.985,3632423.514,508019.2181,26.2765
15408.988,3632422.562,508018.904,26.2756
15409.993,3632421.607,508018.5894,26.2748
15410.992,3632420.658,508018.2764,26.2741
15411.994,3632419.707,508017.9625,26.2736
15412.992,3632418.759,508017.6497,26.2731
15413.988,3632417.814,508017.3378,26.272
15414.988,3632416.863,508017.0245,26.2708
15415.984,3632415.918,508016.7125,26.2706
15416.985,3632414.967,508016.3987,26.2709
15417.985,3632414.018,508016.0855,26.2708
15418.987,3632413.066,508015.7716,26.2702
15419.987,3632412.116,508015.4582,26.2692
15420.99,3632411.164,508015.1441,26.2681
15421.995,3632410.209,508014.8294,26.2669
15422.99,3632409.264,508014.5179,26.2658
15423.991,3632408.314,508014.2044,26.2649
15424.997,3632407.359,508013.8896,26.2642
15425.989,3632406.416,508013.5787,26.2634
15426.986,3632405.47,508013.2665,26.2622
15427.984,3632404.522,508012.9537,26.261
15428.99,3632403.566,508012.6382,26.2603
15429.991,3632402.616,508012.3246,26.2598
15430.991,3632401.667,508012.0114,26.2594
15431.995,3632400.713,508011.6966,26.2584
15432.995,3632399.763,508011.3835,26.2569
15433.996,3632398.813,508011.0696,26.2557
15434.983,3632397.875,508010.7605,26.255
15435.986,3632396.923,508010.4461,26.2547
15436.995,3632395.964,508010.1299,26.2542
15437.984,3632395.026,508009.8207,26.2534
15438.985,3632394.074,508009.5071,26.2516
15439.987,3632393.123,508009.1941,26.2501
15440.992,3632392.168,508008.8792,26.2503
15441.995,3632391.216,508008.5647,26.2508
15442.984,3632390.277,508008.2548,26.2508
15443.993,3632389.318,508007.9387,26.2506
15444.99,3632388.372,508007.6263,26.2501
15445.984,3632387.428,508007.315,26.2496
15446.984,3632386.478,508007.0016,26.2491
15447.994,3632385.519,508006.6851,26.2487
15448.992,3632384.571,508006.3723,26.2482
15449.988,3632383.625,508006.06,26.2476
15450.984,3632382.68,508005.7478,26.247
15451.997,3632381.718,508005.4302,26.2464
15452.989,3632380.776,508005.1194,26.2459
15453.992,3632379.824,508004.8052,26.2455
15454.985,3632378.881,508004.4938,26.2454
15455.988,3632377.928,508004.179,26.2452
15456.983,3632376.983,508003.867,26.2447
15457.994,3632376.023,508003.5493,26.2437
15458.992,3632375.076,508003.2361,26.2428
15459.993,3632374.126,508002.922,26.2425
15460.99,3632373.179,508002.6091,26.2425
15461.994,3632372.226,508002.2942,26.2418
15462.996,3632371.274,508001.9803,26.24
15463.998,3632370.322,508001.6663,26.2388
15464.988,3632369.382,508001.3571,26.2392
15465.998,3632368.423,508001.041,26.2382
15466.992,3632367.478,508000.7294,26.2385
15467.996,3632366.525,508000.4151,26.24
15468.999,3632365.573,508000.1009,26.241
15469.982,3632364.639,507999.793,26.241
15470.983,3632363.688,507999.4801,26.2406
15471.991,3632362.731,507999.1648,26.2404
15472.993,3632361.779,507998.8513,26.2407
15473.983,3632360.839,507998.5414,26.2408
15474.994,3632359.879,507998.2248,26.2404
15475.984,3632358.938,507997.915,26.2399
15476.991,3632357.982,507997.6,26.2407
15477.983,3632357.04,507997.2895,26.2418
15478.986,3632356.088,507996.9753,26.2419
15479.987,3632355.137,507996.6616,26.241
15480.987,3632354.187,507996.3481,26.2401
15481.984,3632353.24,507996.0356,26.24
15482.986,3632352.288,507995.7218,26.2407
15483.985,3632351.34,507995.4093,26.2419
15484.99,3632350.385,507995.095,26.243
15485.993,3632349.433,507994.781,26.2434
15486.981,3632348.494,507994.4718,26.2433
15487.994,3632347.532,507994.1545,26.2435
15488.991,3632346.586,507993.8425,26.2435
15489.99,3632345.637,507993.5294,26.2431
15490.984,3632344.693,507993.2183,26.2426
15491.985,3632343.742,507992.9047,26.2426
15492.996,3632342.782,507992.5877,26.2429
15493.99,3632341.838,507992.2767,26.2432
15494.998,3632340.881,507991.9611,26.2438
15495.994,3632339.935,507991.6489,26.244
15496.994,3632338.985,507991.335,26.2438
15497.991,3632338.039,507991.0224,26.2437
15498.997,3632337.084,507990.7073,26.2437
15499.994,3632336.137,507990.3954,26.2439
15500.984,3632335.196,507990.0857,26.2437
15501.98,3632334.25,507989.7743,26.2442
15502.99,3632333.291,507989.4585,26.2448
15503.996,3632332.335,507989.1429,26.2454
15504.996,3632331.386,507988.8292,26.2462
15505.983,3632330.449,507988.5192,26.2468
15506.987,3632329.496,507988.2044,26.2468
15507.988,3632328.545,507987.8901,26.2465
15508.987,3632327.596,507987.5771,26.2467
15509.995,3632326.639,507987.2612,26.2467
15510.986,3632325.698,507986.9509,26.2468
15511.989,3632324.745,507986.6368,26.2472
15512.99,3632323.795,507986.3232,26.2477
15513.988,3632322.847,507986.0103,26.2479
15514.994,3632321.891,507985.6948,26.2489
15515.987,3632320.949,507985.3839,26.2506
15516.986,3632320,507985.0707,26.2528
15517.988,3632319.049,507984.7568,26.2537
15518.985,3632318.102,507984.4444,26.2537
15519.99,3632317.148,507984.1295,26.2534
15520.988,3632316.2,507983.8169,26.2533
15521.986,3632315.252,507983.5046,26.2534
15522.995,3632314.293,507983.1889,26.254
15523.985,3632313.353,507982.879,26.2543
15524.983,3632312.405,507982.5662,26.2542
15525.995,3632311.444,507982.2491,26.2536
15526.984,3632310.505,507981.9404,26.253
15527.995,3632309.544,507981.624,26.253
15528.994,3632308.596,507981.3112,26.2531
15529.991,3632307.65,507980.9988,26.2533
15530.993,3632306.698,507980.6842,26.253
15531.997,3632305.745,507980.3695,26.2526
15532.99,3632304.802,507980.0584,26.2527
15533.995,3632303.847,507979.7431,26.2531
15534.996,3632302.896,507979.4296,26.2532
15535.996,3632301.946,507979.1162,26.2532
15536.996,3632300.997,507978.8033,26.2531
15537.986,3632300.057,507978.493,26.2525
15538.996,3632299.097,507978.1765,26.252
15539.995,3632298.149,507977.8639,26.2515
15540.984,3632297.21,507977.5539,26.2509
15541.986,3632296.258,507977.2405,26.2501
15542.988,3632295.306,507976.9268,26.2499
15543.987,3632294.358,507976.6138,26.25
15544.995,3632293.4,507976.298,26.25
15545.991,3632292.455,507975.9859,26.2494
15546.987,3632291.509,507975.6741,26.2486
15547.996,3632290.55,507975.3582,26.248
15548.989,3632289.607,507975.0474,26.2479
15549.994,3632288.652,507974.733,26.2475
15550.993,3632287.704,507974.4206,26.2466
15551.986,3632286.761,507974.1103,26.2468
15552.989,3632285.808,507973.7961,26.2478
15553.999,3632284.849,507973.4794,26.248
15554.987,3632283.911,507973.17,26.2477
15555.994,3632282.955,507972.8541,26.2467
15556.986,3632282.012,507972.5429,26.2459
15557.988,3632281.062,507972.2288,26.2463
15558.983,3632280.116,507971.9168,26.2469
15559.987,3632279.163,507971.6017,26.2471
15560.987,3632278.214,507971.2879,26.246
15561.983,3632277.268,507970.9752,26.2447
15562.985,3632276.316,507970.6606,26.2436
15563.994,3632275.358,507970.344,26.2433
15564.988,3632274.415,507970.0321,26.2433
15565.985,3632273.468,507969.7195,26.243
15566.988,3632272.516,507969.4056,26.2427
15567.992,3632271.562,507969.0906,26.2426
15568.984,3632270.62,507968.78,26.2425
15569.983,3632269.671,507968.4676,26.2422
15570.987,3632268.718,507968.1539,26.2411
15571.994,3632267.76,507967.8393,26.2398
15572.985,3632266.819,507967.5295,26.2389
15573.991,3632265.864,507967.2151,26.2389
15574.985,3632264.92,507966.9035,26.2381
15575.986,3632263.969,507966.5897,26.2378
15576.987,3632263.018,507966.2764,26.2379
15578,3632262.057,507965.9594,26.2368
15578.992,3632261.114,507965.6486,26.235
15579.995,3632260.162,507965.3345,26.2336
15580.991,3632259.216,507965.0231,26.2324
15581.987,3632258.27,507964.712,26.2318
15582.989,3632257.318,507964.3989,26.2318
15583.992,3632256.365,507964.0861,26.2317
15584.987,3632255.42,507963.775,26.2315
15585.988,3632254.469,507963.462,26.2308
15586.991,3632253.516,507963.1484,26.2299
15587.986,3632252.571,507962.8366,26.2283
15588.991,3632251.617,507962.5216,26.226
15589.991,3632250.667,507962.2078,26.2234
15590.99,3632249.719,507961.8946,26.2211
15591.996,3632248.764,507961.579,26.22
15592.995,3632247.815,507961.2659,26.2196
15593.991,3632246.869,507960.9542,26.2193
15594.994,3632245.916,507960.6404,26.2196
15595.997,3632244.964,507960.3272,26.2203
15596.986,3632244.024,507960.018,26.2213
15597.986,3632243.074,507959.7057,26.2222
15598.994,3632242.117,507959.3905,26.2226
15599.992,3632241.169,507959.0778,26.2232
15600.995,3632240.216,507958.7634,26.2246
15601.985,3632239.277,507958.4533,26.2264
15602.981,3632238.33,507958.1408,26.2274
15603.992,3632237.37,507957.8232,26.2275
15604.994,3632236.419,507957.5088,26.2271
15605.995,3632235.469,507957.1958,26.2268
15606.996,3632234.518,507956.8827,26.2268
15607.984,3632233.58,507956.5741,26.2267
15608.992,3632232.622,507956.2586,26.2263
15609.985,3632231.679,507955.9477,26.226
15610.995,3632230.719,507955.6314,26.2256
15611.984,3632229.78,507955.3217,26.2252
15612.996,3632228.819,507955.0054,26.2244
15613.938,3632227.924,507954.7112,26.2235
15614.991,3632226.924,507954.3828,26.2231
15615.994,3632225.97,507954.0695,26.2239
15616.996,3632225.019,507953.7565,26.2257
15617.986,3632224.079,507953.4467,26.2285
15618.99,3632223.125,507953.1326,26.2311
15619.986,3632222.18,507952.8207,26.2322
15620.995,3632221.221,507952.5042,26.232
15621.993,3632220.273,507952.1917,26.2314
15622.987,3632219.329,507951.8808,26.2309
15623.988,3632218.378,507951.5677,26.2303
15624.983,3632217.434,507951.2575,26.2304
15625.996,3632216.471,507950.9411,26.2314
15626.987,3632215.53,507950.6306,26.2321
15627.991,3632214.576,507950.3158,26.2317
15628.997,3632213.621,507950.0004,26.2318
15629.995,3632212.673,507949.6871,26.2322
15630.99,3632211.729,507949.3749,26.2331
15631.984,3632210.785,507949.0625,26.2344
15632.989,3632209.831,507948.7475,26.2356
15633.994,3632208.876,507948.4324,26.2358
15634.986,3632207.935,507948.122,26.2347
15635.993,3632206.978,507947.8062,26.2333
15636.99,3632206.031,507947.4939,26.2325
15637.998,3632205.074,507947.1782,26.2325
15638.996,3632204.126,507946.865,26.233
15640,3632203.173,507946.5507,26.234
15640.999,3632202.224,507946.2372,26.2353
15641.998,3632201.275,507945.9244,26.2365
15642.99,3632200.334,507945.614,26.2364
15643.994,3632199.38,507945.2997,26.2358
15644.988,3632198.436,507944.9885,26.235
15645.994,3632197.48,507944.6733,26.2343
15646.986,3632196.538,507944.3626,26.2337
15647.989,3632195.585,507944.0481,26.2336
15648.994,3632194.632,507943.7326,26.234
15649.991,3632193.685,507943.4197,26.235
15650.982,3632192.744,507943.109,26.2365
15651.998,3632191.779,507942.7913,26.2372
15652.989,3632190.838,507942.4808,26.2366
15653.996,3632189.881,507942.1653,26.2353
15654.999,3632188.93,507941.8504,26.2341
15655.987,3632187.991,507941.54,26.2335
15656.999,3632187.03,507941.2226,26.2336
15657.984,3632186.095,507940.914,26.2344
15658.982,3632185.147,507940.6021,26.2346
15659.991,3632184.189,507940.2862,26.2347
15660.993,3632183.237,507939.9718,26.2347
15661.986,3632182.294,507939.6607,26.234
15662.988,3632181.343,507939.3469,26.2332
15663.989,3632180.392,507939.0335,26.232
15664.985,3632179.446,507938.7218,26.2313
15665.982,3632178.499,507938.4097,26.231
15666.995,3632177.537,507938.0923,26.2311
15667.982,3632176.6,507937.7828,26.2313
15668.99,3632175.643,507937.4673,26.2317
15669.986,3632174.697,507937.1552,26.2321
15670.991,3632173.742,507936.8403,26.2318
15671.996,3632172.788,507936.5254,26.2307
15672.995,3632171.839,507936.2121,26.2292
15673.992,3632170.893,507935.8994,26.2279
15674.982,3632169.952,507935.5893,26.2261
15675.996,3632168.99,507935.2715,26.2235
15676.984,3632168.051,507934.9614,26.2212
15677.985,3632167.101,507934.6475,26.2197
15678.994,3632166.143,507934.331,26.2193
15679.992,3632165.195,507934.0176,26.2198
15680.987,3632164.251,507933.7053,26.2203
15681.996,3632163.292,507933.3894,26.2204
15682.992,3632162.346,507933.0786,26.2201
15683.992,3632161.396,507932.7666,26.22
15684.983,3632160.455,507932.4572,26.2199
15685.982,3632159.506,507932.1451,26.2198
15686.988,3632158.55,507931.8305,26.2196
15687.992,3632157.597,507931.5166,26.2197
15688.998,3632156.641,507931.2021,26.2198
15689.983,3632155.705,507930.8936,26.2182
15690.988,3632154.751,507930.5789,26.215
15691.984,3632153.805,507930.2666,26.2121
15692.995,3632152.845,507929.9499,26.21
15693.985,3632151.905,507929.6395,26.2094
15694.995,3632150.945,507929.3229,26.2099
15695.983,3632150.008,507929.0129,26.2102
15696.986,3632149.055,507928.6983,26.2096
15697.998,3632148.094,507928.3813,26.2087
15698.994,3632147.148,507928.069,26.2086
15699.996,3632146.197,507927.7556,26.209
15700.99,3632145.253,507927.4442,26.2103
15701.986,3632144.307,507927.1325,26.2115
15702.984,3632143.36,507926.82,26.2113
15703.993,3632142.401,507926.5034,26.2108
15704.995,3632141.449,507926.1892,26.2104
15705.987,3632140.508,507925.8782,26.2104
15706.984,3632139.561,507925.5656,26.2105
15707.985,3632138.61,507925.2515,26.211
15708.985,3632137.661,507924.9379,26.2112
15709.988,3632136.709,507924.6232,26.2115
15710.986,3632135.761,507924.3099,26.212
15711.994,3632134.804,507923.9933,26.213
15712.994,3632133.855,507923.6792,26.2132
15713.985,3632132.913,507923.3679,26.2129
15714.997,3632131.953,507923.0504,26.2124
15715.993,3632131.007,507922.7379,26.2124
15716.98,3632130.07,507922.4284,26.2128
15717.99,3632129.111,507922.1114,26.2132
15718.982,3632128.169,507921.7997,26.2135
15719.983,3632127.219,507921.4854,26.2137
15720.994,3632126.259,507921.1682,26.2143
15721.985,3632125.317,507920.8573,26.2151
15722.991,3632124.363,507920.5423,26.2158
15723.993,3632123.41,507920.2283,26.2161
15724.996,3632122.459,507919.9146,26.2169
15725.994,3632121.51,507919.6022,26.2184
15726.993,3632120.561,507919.2894,26.2196
15727.992,3632119.613,507918.976,26.22
15728.994,3632118.662,507918.6618,26.2201
15729.991,3632117.715,507918.3488,26.2205
15730.997,3632116.76,507918.0332,26.2212
15731.946,3632115.858,507917.7355,26.222
15732.989,3632114.868,507917.4085,26.2227
15733.991,3632113.916,507917.0946,26.2231
15734.991,3632112.967,507916.7814,26.2235
15735.999,3632112.01,507916.4657,26.2239
15736.985,3632111.073,507916.1567,26.2246
15737.991,3632110.118,507915.8419,26.2252
15738.994,3632109.165,507915.5273,26.2256
15739.992,3632108.218,507915.2142,26.2257
15740.985,3632107.275,507914.9026,26.2261
15741.988,3632106.323,507914.5881,26.2267
15742.994,3632105.367,507914.273,26.2272
15743.983,3632104.428,507913.9631,26.2273
15744.992,3632103.47,507913.6475,26.2273
15745.995,3632102.517,507913.3333,26.2279
15746.995,3632101.567,507913.0205,26.2286
