¹ìÕí±àºÅ,²âÁ¿Àï³Ì,×ó¹ìºáÆ«,ÓÒ¹ìºáÆ«,×ó¹ìÊúÆ«,ÓÒ¹ìÊúÆ«
07,384854.741,3.1,3,10.2,10.7
08,384855.49,3.2,3.3,10.1,10.4
09,384856.115,3.4,3.4,9.9,10.2
00,384856.741,3.5,3.3,9.8,10.1
01,384857.366,3.4,3.2,9.7,10.1
02,384857.99,3.3,3,9.6,10.1
03,384858.74,3.4,3.1,9.6,9.9
04,384859.365,3.5,3.1,9.6,9.7
05,384859.99,3.6,3,9.6,9.6
06,384860.615,3.7,3,9.5,9.4
07,384861.365,3.6,3,9.2,9.3
08,384861.99,3.4,3,9.2,9.5
09,384862.615,3.1,2.9,9.4,9.8
00,384863.24,2.9,2.7,9.7,10.1
01,384863.989,2.9,2.9,10,10.1
02,384864.614,3.1,3.1,10,10
03,384865.239,3.2,3.1,10,10
04,384865.864,3.2,3.1,10,10
05,384866.489,3.1,2.8,9.9,10
06,384867.114,3.2,2.8,9.9,10.1
07,384867.739,3.2,2.8,10.1,10.3
08,384868.488,3.2,2.5,10.4,10.5
09,384869.113,3.3,2.5,10.6,10.7
00,384869.738,3.5,2.7,10.6,10.6
01,384870.363,3.4,2.7,10.4,10.4
02,384871.113,3.1,2.5,10.2,10.4
03,384871.738,2.7,2.4,10.2,10.4
04,384872.363,2.5,2.4,10.3,10.5
05,384872.987,2.4,2.3,10.5,10.6
06,384873.612,2.6,2.4,10.7,10.7
07,384874.237,2.6,2.3,10.9,10.9
08,384874.987,2.7,2.3,10.9,10.9
09,384875.612,2.8,2.5,10.6,10.8
00,384876.237,2.8,2.7,10.4,10.6
01,384876.862,2.7,2.6,10.4,10.6
02,384877.487,2.5,2.4,10.5,10.6
03,384878.237,2.6,2.6,10.6,10.6
04,384878.862,2.7,2.6,10.5,10.6
05,384879.486,2.7,2.5,10.4,10.6
06,384880.111,2.8,2.4,10.4,10.7
07,384880.736,2.9,2.5,10.4,10.7
08,384881.486,3.2,2.7,10.4,10.7
09,384882.111,3.3,2.8,10.4,10.7
00,384882.736,3.2,2.8,10.5,10.7
01,384883.361,3,2.5,10.6,10.6
02,384883.986,3,2.5,10.5,10.5
03,384884.735,3.2,2.8,10.3,10.2
04,384885.36,3.3,2.8,10.2,10
05,384885.985,3.3,2.9,10.2,9.9
06,384886.61,3.3,3.1,10.3,9.9
07,384887.235,3.1,2.9,10.5,10.2
08,384887.985,3.1,2.6,10.6,11
09,384888.735,3.1,2.4,10.7,11
00,384889.36,3.1,2.4,10.7,11.1
01,384889.985,3,2.6,10.7,11
02,384890.61,2.8,2.6,10.6,10.8
03,384891.234,2.6,2.6,10.5,10.6
04,384891.859,2.5,2.5,10.5,10.5
05,384892.484,2.6,2.3,10.7,10.6
06,384893.109,2.7,2.4,11,11.1
07,384893.734,2.7,2.2,11.2,11.6
08,384894.483,2.4,2,11.3,11.7
09,384895.108,2.4,2,11.2,11.6
00,384895.733,2.5,2.1,11,11.3
01,384896.358,2.5,2.1,10.8,11.1
02,384896.983,2.4,2.1,10.8,11.1
03,384897.733,2.3,2.2,11.1,11.4
04,384898.357,2.2,2.2,11.3,11.7
05,384898.982,2.3,2.1,11.4,11.9
06,384899.607,2.4,2.5,11.4,11.9
07,384900.232,2.2,1.9,11.3,11.8
08,384900.982,2.2,1.9,11.2,11.4
09,384901.607,2,2,11.3,11.4
00,384902.232,1.8,2,11.5,11.5
01,384902.856,1.7,2.2,11.6,11.6
02,384903.481,1.8,2.2,11.6,11.6
03,384904.231,2,1.9,11.6,11.5
04,384904.855,2.1,1.9,11.5,11.4
05,384905.48,2.1,1.7,11.3,11.2
06,384906.105,2.2,1.8,11.1,10.9
07,384906.855,2.2,1.8,10.8,10.6
08,384907.48,2.3,2.1,10.7,10.5
09,384908.104,2.5,2.2,10.6,10.3
00,384908.729,2.7,2.2,10.6,10.3
01,384909.355,2.7,2.1,10.6,10.4
02,384909.979,2.6,2,10.6,10.5
03,384910.729,2.5,2.1,10.3,10.4
04,384911.354,2.4,2.2,10.2,10.2
05,384911.979,2.3,2.1,10.1,10.2
06,384912.604,2.2,2,10,10.1
07,384913.228,2.1,2,9.9,10.1
08,384913.978,2.1,2.1,9.9,10.2
09,384914.603,2.2,2.3,10,10.2
00,384915.228,2.1,2.1,9.9,10.1
01,384915.853,2.2,2,9.9,9.9
02,384916.477,2.4,1.8,9.8,9.5
03,384917.227,2.5,1.6,9.7,9.2
04,384917.852,2.5,1.6,9.6,9.1
05,384918.477,2.5,1.6,9.6,9.2
06,384919.102,2.7,1.8,9.7,9.4
07,384919.727,2.8,1.8,9.8,9.7
08,384920.477,2.5,1.5,10,10.1
09,384921.101,2.4,1.4,10.2,10.4
00,384921.726,2.5,1.6,10.2,10.6
01,384922.351,2.5,1.7,10.2,10.8
02,384922.976,2.5,1.7,10.3,11
03,384923.726,2.4,1.9,10.7,11.4
04,384924.35,2.5,2,11.1,11.7
05,384924.975,2.5,2.2,11.4,11.9
06,384925.6,2.5,2.3,11.6,12
07,384926.225,2.4,2.1,11.6,11.9
08,384926.975,2.4,2,11.7,11.8
09,384927.6,2.5,1.9,11.8,11.8
00,384928.225,2.5,1.8,11.9,12
01,384928.85,2.2,1.4,12.1,12.4
02,384929.474,2.1,1.4,12.4,12.8
03,384930.224,2.1,1.5,12.4,13.1
04,384930.849,2,1.6,12.4,13.2
05,384931.474,2,1.6,12.4,13.3
06,384932.098,2.1,1.6,12.5,13.3
07,384932.848,2.2,1.5,12.5,13.2
08,384933.473,2.3,1.5,12.6,13.1
09,384934.098,2.4,1.6,12.7,13.2
00,384934.723,2.5,1.7,12.8,13.3
01,384935.348,2.4,1.5,12.9,13.4
02,384936.098,2.1,1.2,12.9,13.5
03,384936.722,2,1.3,12.9,13.5
04,384937.347,1.9,1,12.9,13.4
05,384937.972,1.9,1,12.8,13.3
06,384938.597,2,1.2,12.7,13.2
07,384939.222,2.1,1.2,12.6,13.2
08,384939.971,2.1,1.1,12.5,13
09,384940.596,2.2,1.3,12.3,12.9
00,384941.221,2.2,1.3,12.2,12.8
01,384941.846,2.1,1.1,12.2,12.8
02,384942.471,2,1.1,12.2,12.8
03,384943.22,2.2,1.3,12.2,12.7
04,384943.845,2.3,1.4,12.1,12.6
05,384944.47,2.4,1.7,12,12.5
06,384945.095,2.3,1.7,11.9,12.4
07,384945.72,2.2,1.5,11.8,12.2
08,384946.47,2,1.2,11.6,12
09,384947.095,2.1,1.2,11.5,11.9
00,384947.719,2.1,1,11.4,11.7
01,384948.344,2.1,1,11.2,11.5
02,384948.969,2.1,1.2,11.2,11.4
03,384949.719,2,1.2,11.1,11.3
04,384950.344,2,1.2,10.9,11.2
05,384950.969,1.9,1.1,10.7,11.2
06,384951.593,1.8,1,10.6,11.2
07,384952.218,2,1.2,10.7,11.2
08,384952.968,2.1,1.2,10.8,11.3
09,384953.593,2.2,1.2,11.1,11.4
00,384954.218,2.2,1.1,11.4,11.7
01,384954.843,2.1,1.1,11.7,12.1
02,384955.468,2,1.1,11.8,12.4
03,384956.218,1.8,1.1,12,12.8
04,384956.842,1.6,1,12.1,13
05,384957.467,1.5,1.1,12.2,13
06,384958.092,1.4,1.1,12.4,13
07,384958.717,1.6,1.1,12.5,13
08,384959.466,1.7,1.1,12.8,13.1
