¹ìÕí±àºÅ,²âÁ¿Àï³Ì,×ó¹ìºáÆ«,ÓÒ¹ìºáÆ«,×ó¹ìÊúÆ«,ÓÒ¹ìÊúÆ«
07,385147.213,-1.2,-2,21,21
08,385147.837,-1.1,-2,20.9,20.9
09,385148.462,-1,-2,21,21.1
00,385149.211,-1,-2,21.2,21.3
01,385149.836,-1,-2,21.3,21.5
02,385150.46,-1.1,-2.1,21.6,21.7
03,385151.084,-1.1,-2,21.8,21.8
04,385151.709,-1,-1.9,21.9,21.8
05,385152.458,-1,-1.7,22.1,21.8
06,385153.083,-1,-1.7,22.4,22
07,385153.707,-1,-1.6,22.6,22.1
08,385154.332,-1.1,-1.5,22.8,22.3
09,385154.956,-1.2,-1.4,23,22.6
00,385155.705,-1.4,-1.5,22.8,23
01,385156.33,-1.6,-1.9,22.4,23
02,385156.954,-1.7,-2.1,22,22.9
03,385157.578,-1.6,-2.2,21.5,22.5
04,385158.328,-1.5,-2.2,21.1,22
05,385158.952,-1.4,-2.4,20.9,21.8
06,385159.577,-1.5,-2.7,21,21.8
07,385160.201,-1.8,-3.1,21,22
08,385160.826,-1.9,-3.3,20.9,22
09,385161.575,-1.9,-3.3,20.8,21.8
00,385162.199,-1.9,-3.2,20.7,21.6
01,385162.824,-2,-3.1,20.7,21.5
02,385163.448,-2.2,-3.2,20.7,21.4
03,385164.072,-2.2,-3.3,20.6,21.4
04,385164.822,-2.2,-3.3,20.6,21.5
05,385165.446,-2.3,-3.5,20.6,21.6
06,385166.071,-2.5,-3.7,20.7,21.7
07,385166.695,-2.5,-3.8,20.8,21.8
08,385167.319,-2.5,-3.8,21,22
09,385167.944,-2.4,-3.7,21.1,22.2
00,385168.693,-2.3,-3.7,21,22.3
01,385169.317,-2,-3.4,20.9,22.1
02,385169.942,-1.9,-3.2,20.8,22
03,385170.566,-2,-3.1,20.7,21.9
04,385171.316,-2,-3.1,20.5,21.7
05,385171.94,-2,-3.2,20.5,21.6
06,385172.565,-2,-3.4,20.6,21.7
07,385173.189,-2,-3.5,20.7,21.8
08,385173.813,-1.9,-3.6,20.8,21.9
09,385174.688,-1.8,-3.5,21,22.3
00,385175.312,-1.8,-3.6,21.2,22.4
01,385175.936,-1.8,-3.5,21.4,22.4
02,385176.56,-1.9,-3.4,21.6,22.4
03,385177.185,-2,-3.5,21.8,22.5
04,385177.809,-2.1,-3.5,21.9,22.6
05,385178.433,-2.3,-3.3,21.9,22.7
06,385179.182,-2.5,-3.4,21.8,22.7
07,385179.806,-2.5,-3.4,21.8,22.6
08,385180.431,-2.3,-3.2,21.7,22.4
09,385181.055,-2.2,-3.1,21.4,22.1
00,385181.679,-2.1,-3.1,21.1,21.9
01,385182.428,-2.1,-3.1,21,21.7
02,385183.053,-2.2,-3.2,21.1,21.8
03,385183.677,-2.3,-3.3,21.2,21.8
04,385184.301,-2.2,-3.1,21.1,21.5
05,385185.05,-1.9,-2.7,21.1,21.2
06,385185.674,-1.8,-2.6,21,21
07,385186.299,-1.7,-2.6,20.9,20.9
08,385186.923,-1.8,-2.9,20.9,21
09,385187.548,-1.9,-3.1,21.1,21.2
00,385188.172,-2,-3.2,21.1,21.4
01,385188.921,-2.1,-3.3,21,21.5
02,385189.545,-2.1,-3.1,20.9,21.6
03,385190.169,-2.1,-3.2,20.8,21.6
04,385190.794,-2,-3.1,20.8,21.6
05,385191.418,-1.9,-2.9,20.7,21.5
06,385192.167,-1.8,-2.7,20.6,21.4
07,385192.791,-1.9,-2.9,20.6,21.5
08,385193.415,-1.9,-3.1,20.7,21.5
09,385194.04,-1.8,-2.9,20.8,21.6
00,385194.664,-1.6,-2.6,20.9,21.5
01,385195.413,-1.5,-2.3,21,21.6
02,385196.038,-1.5,-2,21.1,21.8
03,385196.662,-1.5,-2,21.4,22
04,385197.286,-1.3,-1.6,21.7,22.1
05,385197.91,-1,-1.3,22,22.1
06,385198.659,-0.7,-1.4,22.3,22.1
07,385199.284,-0.6,-1.5,22.4,22.2
08,385199.908,-0.5,-1.6,22.4,22.1
09,385200.532,-0.3,-1.2,22.1,21.9
00,385201.156,-0.3,-0.8,21.9,21.8
01,385201.906,-0.4,-0.9,21.9,22
02,385202.53,-0.7,-1.1,21.8,22.1
03,385203.154,-0.8,-1.4,21.7,22.1
04,385203.779,-0.9,-1.6,21.6,21.9
05,385204.403,-1,-1.8,21.4,21.8
06,385205.152,-1.2,-1.8,21.2,21.7
07,385205.776,-1.4,-1.9,21.1,21.7
08,385206.4,-1.4,-1.8,21,21.7
09,385207.025,-1.4,-1.7,21.2,21.8
00,385207.649,-1.2,-1.5,21.4,21.9
01,385208.398,-1.1,-1.6,21.7,22
02,385209.023,-1.2,-1.8,21.9,22.1
03,385209.647,-1.4,-2,22.1,22.2
04,385210.271,-1.4,-2.1,22.2,22.3
05,385211.02,-1.4,-2.2,22.3,22.4
06,385211.644,-1.5,-2.3,22.3,22.3
07,385212.269,-1.6,-2.4,22,22.1
08,385212.893,-1.7,-2.5,21.5,21.8
09,385213.517,-1.7,-2.4,21.1,21.4
00,385214.141,-1.6,-2.4,20.9,21.3
01,385214.891,-1.6,-2.8,21,21.3
02,385215.515,-1.8,-2.9,21.1,21.4
03,385216.139,-2.1,-3,21.2,21.6
04,385216.763,-2.2,-2.9,21.3,21.8
05,385217.388,-2.3,-3,21.3,21.9
06,385218.137,-2.5,-3.1,21.1,21.7
07,385218.761,-2.4,-3.1,20.9,21.5
08,385219.385,-2.4,-3.3,20.8,21.3
09,385220.01,-2.6,-3.2,20.8,21.2
00,385220.634,-2.9,-3.4,20.8,21.3
01,385221.383,-2.8,-3.3,20.7,21.3
02,385222.007,-2.7,-3.2,20.6,21.3
03,385222.632,-2.8,-3.4,20.5,21.2
04,385223.256,-2.9,-3.5,20.4,21
05,385223.88,-2.9,-3.5,20.4,21
06,385224.629,-2.8,-3.4,20.7,21
07,385225.253,-2.6,-3.5,20.9,21.1
08,385225.878,-2.4,-3.6,21.1,21.2
09,385226.502,-2.4,-3.6,21.3,21.3
00,385227.126,-2.3,-3.7,21.4,21.4
01,385227.875,-2.2,-3.6,21.4,21.3
02,385228.5,-2.2,-3.8,21.3,21.2
03,385229.124,-2.3,-3.9,21.3,21.2
04,385229.748,-2.3,-3.9,21.3,21.3
05,385230.373,-2.2,-3.8,21.4,21.4
06,385231.122,-2.5,-3.7,21.5,21.6
07,385231.746,-2.9,-4,21.6,21.7
08,385232.37,-3,-4,21.5,21.8
09,385232.994,-3,-3.9,21.4,21.7
00,385233.618,-2.8,-3.8,21.2,21.4
01,385234.367,-2.5,-3.5,21,21.1
02,385234.992,-2.3,-3.2,20.8,21
03,385235.616,-2.4,-3.5,20.8,21.1
04,385236.241,-2.5,-3.6,20.7,21.2
05,385236.865,-2.6,-3.8,20.5,21.2
06,385237.614,-2.7,-3.9,20.4,21.1
07,385238.238,-2.7,-3.7,20.5,21.1
08,385238.862,-2.5,-3.5,20.8,21.3
09,385239.487,-2.2,-3.4,21.2,21.5
00,385240.111,-1.9,-3.2,21.5,21.7
01,385240.86,-1.6,-3,21.8,21.9
02,385241.485,-1.7,-3.2,22.1,22.1
03,385242.109,-2.1,-3.3,22.3,22.3
04,385242.733,-2.2,-3.3,22.5,22.4
05,385243.357,-2.2,-3.3,22.6,22.6
06,385244.107,-2.3,-3.2,22.6,22.7
07,385244.731,-2.3,-3.3,22.2,22.6
08,385245.355,-2.4,-3.4,21.7,22.4
09,385245.979,-2.5,-3.5,21.3,22.3
00,385246.729,-2.7,-3.7,21.2,22.3
01,385247.353,-2.7,-3.6,21.1,22.3
02,385247.977,-2.7,-3.7,21,22.2
03,385248.601,-2.8,-3.6,21,22.1
04,385249.226,-2.9,-3.6,21,22
05,385249.85,-2.9,-3.5,21,21.9
06,385250.599,-2.9,-3.6,21.2,21.9
07,385251.223,-3,-3.5,21.5,22
08,385251.847,-2.8,-3.2,21.9,22.1
09,385252.472,-2.7,-3,22.2,22.2
00,385253.096,-2.7,-3,22.4,22.4
01,385253.845,-2.6,-3.1,22.5,22.4
02,385254.469,-2.5,-3.4,22.4,22.4
03,385255.094,-2.6,-3.6,22.3,22.5
04,385255.718,-2.6,-3.6,22.2,22.6
05,385256.342,-2.6,-3.8,22.3,22.8
06,385257.091,-2.6,-3.8,22.4,22.9
07,385257.715,-2.5,-3.7,22.6,23
08,385258.34,-2.2,-3.4,22.8,23
09,385258.964,-1.9,-3.2,22.9,23
00,385259.589,-1.8,-2.9,23.1,23.1
01,385260.213,-1.9,-3,23.3,23.1
02,385260.962,-1.8,-2.9,23.4,23.1
03,385261.586,-1.8,-2.7,23.3,23.1
04,385262.21,-1.8,-2.2,23.3,23
05,385262.835,-1.7,-2.1,23.2,23
06,385263.584,-1.7,-2,23.1,22.9
07,385264.208,-1.8,-1.9,23.1,23
08,385264.832,-1.8,-1.9,23,23.1
09,385265.457,-1.8,-2.1,22.9,23.4
00,385266.081,-1.7,-2.2,22.9,23.6
01,385266.705,-1.5,-2.1,23,23.6
02,385267.454,-1.4,-2.1,23,23.5
03,385268.079,-1.5,-2.2,23.1,23.5
04,385268.703,-1.7,-2.3,23.2,23.5
05,385269.327,-1.8,-2.5,23.2,23.5
06,385270.076,-1.8,-2.7,23.2,23.5
07,385270.701,-1.9,-2.8,23.2,23.6
08,385271.325,-1.8,-2.8,23.1,23.7
09,385272.199,-1.5,-2.7,23.1,23.9
00,385272.824,-1.4,-2.7,23.1,23.9
01,385273.449,-1.5,-2.9,23.1,23.8
02,385274.073,-1.6,-3,23.1,23.5
03,385274.698,-1.7,-3,23.2,23.5
04,385275.323,-1.9,-3,23.3,23.7
05,385275.948,-1.7,-2.8,23.3,23.9
06,385276.697,-1.5,-2.8,23.3,24
07,385277.322,-1.3,-3,23.3,24.1
08,385277.947,-1.2,-2.9,23.4,24.2
09,385278.572,-1.2,-2.9,23.4,24.1
00,385279.197,-1.4,-2.7,23.5,24
01,385279.947,-1.6,-2.3,23.5,23.8
02,385280.571,-1.4,-2,23.5,23.6
03,385281.196,-1.3,-1.9,23.6,23.6
04,385281.821,-1.3,-1.8,23.7,23.7
05,385282.446,-1.3,-1.6,23.7,23.8
06,385283.196,-1.2,-1.4,23.7,23.9
07,385283.821,-1.1,-1.4,23.9,24.1
08,385284.445,-1.1,-1.5,23.9,24.2
09,385285.07,-1,-1.4,23.9,24.2
00,385285.696,-1,-1.6,23.7,24.2
01,385286.32,-1.2,-1.8,23.7,24.3
02,385287.07,-1.5,-2,23.7,24.3
03,385287.695,-1.5,-2.1,23.8,24.4
04,385288.32,-1.4,-2.1,24,24.5
05,385288.944,-1.2,-2,24.3,24.8
06,385289.569,-1,-1.7,24.5,25.1
07,385290.319,-1,-1.7,24.5,25.1
08,385290.944,-1.1,-1.8,24.4,24.9
09,385291.569,-1.4,-2.1,24.4,24.8
00,385292.194,-1.8,-2.4,24.6,24.9
01,385292.819,-2.2,-2.6,24.8,25.1
02,385293.568,-2.2,-2.4,25,25.3
03,385294.193,-1.9,-2.2,25.3,25.7
04,385294.818,-1.7,-2.2,25.6,25.9
05,385295.442,-1.5,-2.2,25.7,25.9
06,385296.068,-1.4,-2.2,25.6,25.8
07,385296.818,-1.4,-2.5,25.4,25.7
08,385297.442,-1.4,-2.3,25.4,25.8
09,385298.067,-1.4,-2.2,25.4,25.8
00,385298.692,-1.5,-2.2,25.4,25.9
01,385299.442,-1.7,-2.7,25.7,26.2
02,385300.066,-1.6,-2.8,25.8,26.3
03,385300.692,-1.5,-2.6,25.7,26.1
04,385301.316,-1.6,-2.5,25.7,26.1
05,385301.941,-1.7,-2.5,25.9,26.2
06,385302.691,-1.7,-2.4,26,26.3
07,385303.316,-1.7,-2.3,26.2,26.4
08,385303.941,-1.9,-2.3,26.2,26.6
09,385304.566,-2.1,-2.4,26.2,26.8
00,385305.19,-2.2,-2.4,26.3,27
01,385305.94,-2.3,-2.5,26.4,27.1
02,385306.565,-2.3,-2.6,26.6,27.2
03,385307.19,-2.2,-2.6,26.8,27.3
04,385307.815,-2.1,-2.5,27.1,27.4
05,385308.439,-2,-2.4,27.3,27.6
06,385309.189,-2.1,-2.6,27.5,27.8
07,385309.814,-2.2,-2.7,27.4,27.8
08,385310.439,-2.4,-2.8,27.4,27.8
09,385311.064,-2.5,-3,27.3,27.8
00,385311.689,-2.7,-3.2,27.4,27.7
01,385312.313,-2.7,-3.1,27.5,27.8
02,385313.063,-2.6,-3.1,27.7,27.9
03,385313.688,-2.5,-2.9,27.7,28
04,385314.313,-2.4,-2.8,27.8,28.2
05,385314.938,-2.6,-2.9,28,28.4
06,385315.563,-2.7,-3,28.2,28.5
07,385316.312,-2.7,-3,28.1,28.4
08,385316.937,-2.5,-2.9,28.1,28.3
09,385317.562,-2.5,-3,28.1,28.3
00,385318.187,-2.5,-3.1,28.2,28.4
01,385318.812,-2.4,-3,28.3,28.5
02,385319.562,-2.6,-3,28.4,28.6
03,385320.187,-2.7,-3.1,28.5,28.7
04,385320.811,-2.8,-3.2,28.5,28.7
05,385321.436,-2.7,-3.2,28.3,28.5
06,385322.061,-2.7,-3,28.1,28.5
07,385322.811,-2.9,-3.1,28.2,28.6
08,385323.435,-2.9,-3.1,28.2,28.7
09,385324.06,-2.8,-3.2,28.3,28.8
00,385324.685,-2.7,-3.1,28.5,28.9
01,385325.31,-2.7,-3.3,28.6,29
02,385326.06,-2.8,-3.3,28.6,29
03,385326.685,-2.8,-3.3,28.4,28.9
04,385327.309,-2.7,-3.4,28.2,28.7
05,385327.935,-2.6,-3.4,28.2,28.7
06,385328.559,-2.8,-3.5,28.2,28.7
07,385329.309,-2.8,-3.6,28.4,28.8
08,385329.934,-2.8,-3.5,28.4,28.9
09,385330.559,-2.9,-3.6,28.3,28.8
00,385331.184,-2.9,-3.4,28.1,28.8
01,385331.808,-3,-3.5,28.1,28.8
02,385332.558,-2.9,-3.6,28.1,28.7
03,385333.183,-3,-3.6,28,28.7
04,385333.808,-3.1,-3.7,28,28.7
05,385334.433,-3.2,-3.6,28.1,28.8
06,385335.058,-3.3,-3.7,28.2,28.8
07,385335.807,-3.5,-4.1,28.2,28.6
08,385336.432,-3.5,-4.2,28.1,28.4
09,385337.057,-3.6,-4.3,28.1,28.4
00,385337.682,-3.7,-4.3,28.2,28.4
01,385338.307,-3.7,-4.2,28.2,28.4
02,385339.057,-3.7,-4.2,28.4,28.6
03,385339.681,-3.6,-4.3,28.4,28.7
04,385340.306,-3.4,-4.3,28.3,28.5
05,385340.931,-3.4,-4.3,28.2,28.4
06,385341.556,-3.7,-4.4,28.2,28.3
07,385342.306,-4.1,-4.5,28.3,28.3
08,385342.93,-4.2,-4.5,28.2,28.3
09,385343.555,-4.1,-4.6,28.2,28.3
00,385344.18,-3.8,-4.6,28.2,28.5
01,385344.93,-3.7,-4.6,28.1,28.6
02,385345.555,-3.8,-4.8,27.9,28.4
03,385346.18,-3.9,-4.8,27.9,28.2
04,385346.805,-4,-4.7,27.9,28
05,385347.429,-4,-4.6,27.6,27.9
06,385348.054,-4.2,-4.5,27.5,28
07,385348.804,-4.2,-4.5,27.5,28.1
08,385349.429,-4.1,-4.5,27.6,28.2
09,385350.054,-3.9,-4.4,27.6,28.2
00,385350.679,-3.9,-4.6,27.5,28
01,385351.303,-3.8,-4.6,27.3,27.7
02,385352.053,-3.8,-4.4,27.1,27.4
03,385352.678,-3.9,-4.3,26.7,27.1
04,385353.303,-3.9,-4.3,26.4,26.7
05,385353.927,-3.8,-4.2,26.3,26.5
06,385354.552,-3.6,-4.2,26.3,26.3
07,385355.302,-3.6,-4,26.3,26.2
08,385355.927,-3.6,-3.9,26.2,26.1
09,385356.552,-3.8,-4,26,25.8
00,385357.177,-3.8,-4,25.8,25.5
01,385357.801,-3.7,-4,25.5,25.3
02,385358.551,-3.4,-3.8,25.3,25.2
03,385359.176,-3.2,-3.7,25.4,25.3
04,385359.801,-3.2,-3.6,25.5,25.4
05,385360.426,-3.4,-3.7,25.6,25.5
06,385361.051,-3.4,-3.6,25.6,25.5
07,385361.801,-3.4,-3.6,25.2,25.3
08,385362.425,-3.3,-3.6,24.9,25.3
09,385363.176,-3.2,-3.6,24.6,25.1
00,385363.8,-3.3,-3.6,24.7,25.3
01,385364.424,-3.2,-3.4,24.9,25.5
02,385365.049,-3.1,-3.5,25.1,25.6
03,385365.673,-2.9,-3.6,25.1,25.6
04,385366.298,-2.9,-3.6,25.2,25.5
05,385366.922,-2.8,-3.5,25.1,25.3
06,385367.672,-2.7,-3.5,24.9,25.1
07,385368.296,-2.8,-3.6,24.9,25.1
08,385368.921,-2.8,-3.5,25,25.2
09,385369.545,-2.7,-3.5,25.1,25.3
00,385370.17,-2.7,-3.5,25.3,25.4
01,385370.92,-2.8,-3.5,25.4,25.4
02,385371.544,-2.9,-3.5,25.4,25.3
03,385372.168,-3,-3.4,25.3,25.2
04,385372.793,-2.9,-3.2,25.2,25
05,385373.417,-2.7,-3.1,25.3,25
06,385374.167,-2.7,-3,25.4,25.1
07,385374.791,-2.8,-3.1,25.3,25.2
08,385375.416,-3,-3.1,25.2,25.2
09,385376.04,-2.9,-2.9,25.1,25.2
00,385376.789,-2.7,-2.8,25,25.1
01,385377.414,-2.6,-2.9,24.9,24.9
02,385378.039,-2.5,-3.1,24.8,24.8
03,385378.663,-2.7,-3.3,24.8,24.8
04,385379.288,-2.9,-3.4,24.9,25
05,385380.037,-2.7,-3.5,25,25.1
06,385380.661,-2.5,-3.5,25,25.1
07,385381.286,-2.4,-3.4,24.9,25.1
08,385381.911,-2.5,-3.4,24.8,25
09,385382.535,-2.7,-3.3,24.6,24.8
00,385383.285,-2.9,-3.2,24.4,24.7
01,385383.909,-2.9,-3.2,24.2,24.6
02,385384.533,-2.8,-3.2,24.2,24.6
03,385385.158,-2.6,-3.1,24.3,24.6
04,385385.782,-2.6,-3.1,24.3,24.6
05,385386.407,-2.7,-2.8,24.3,24.6
06,385387.157,-2.8,-2.9,24.2,24.5
07,385387.781,-2.8,-3.1,24.2,24.3
08,385388.405,-2.7,-3.1,24.1,24.2
09,385389.03,-2.6,-3.3,24,24.2
00,385389.654,-2.6,-3.2,23.9,24.2
01,385390.404,-2.8,-3.4,23.8,24
02,385391.028,-2.8,-3.3,23.6,23.8
03,385391.653,-2.7,-3.3,23.5,23.6
04,385392.277,-2.7,-3.3,23.5,23.6
05,385392.902,-2.9,-3.4,23.6,23.7
06,385393.651,-2.9,-3.4,23.7,24
07,385394.276,-2.8,-3.3,23.7,24.1
08,385394.9,-2.9,-3.3,23.8,24.3
09,385395.525,-2.8,-3.3,23.8,24.3
00,385396.274,-3,-3.3,23.8,24.3
01,385396.899,-3.1,-3.3,23.8,24.1
02,385397.523,-2.9,-3.1,23.8,24
03,385398.148,-2.8,-3.1,23.8,24
04,385398.772,-2.9,-3.3,23.8,24.2
05,385399.397,-3,-3.8,23.8,24.4
06,385400.146,-3,-3.7,23.8,24.5
07,385400.77,-2.9,-3.7,23.8,24.4
08,385401.395,-3,-3.3,23.9,24.5
09,385402.02,-3,-3,23.9,24.5
00,385402.644,-3,-2.8,24,24.6
01,385403.393,-2.9,-3.1,24.2,24.5
02,385404.018,-2.9,-3.4,24.1,24.4
03,385404.643,-2.9,-3.6,24.1,24.3
04,385405.267,-3,-3.7,24.1,24.4
05,385405.891,-3.1,-3.7,24.2,24.5
06,385406.641,-2.9,-3.4,24.2,24.6
07,385407.265,-2.8,-3.4,24.2,24.5
08,385407.89,-3,-3.6,24.2,24.5
09,385408.515,-3.2,-3.7,24.1,24.5
00,385409.264,-3.4,-3.8,24,24.3
01,385409.888,-3.3,-3.8,23.9,24.1
02,385410.513,-3.1,-3.6,23.9,24.2
03,385411.137,-3,-3.4,23.9,24.3
04,385411.762,-2.9,-3.4,23.9,24.3
05,385412.511,-2.9,-3.5,23.8,24.3
06,385413.136,-2.8,-3.4,23.8,24.2
07,385413.76,-2.8,-3.4,23.6,24
08,385414.385,-2.8,-3.4,23.5,23.9
09,385415.009,-2.9,-3.5,23.3,23.7
00,385415.634,-2.8,-3.4,23.1,23.6
01,385416.383,-2.8,-3.3,23,23.5
02,385417.007,-2.7,-3.1,22.9,23.4
03,385417.632,-2.6,-2.9,22.9,23.3
04,385418.257,-2.6,-3,22.8,23.2
05,385419.006,-2.8,-3,22.5,23
06,385419.631,-2.9,-3.1,22.3,22.8
07,385420.255,-3,-3.2,22,22.5
08,385420.879,-2.9,-3.3,21.9,22.3
09,385421.504,-2.7,-3.1,21.8,22.1
00,385422.129,-2.5,-2.8,21.8,22.1
01,385422.878,-2.6,-2.9,21.7,22.1
02,385423.502,-2.6,-2.9,21.6,21.9
03,385424.127,-2.4,-2.9,21.5,21.7
04,385424.751,-2.3,-2.9,21.5,21.6
05,385425.376,-2.3,-3,21.5,21.6
06,385426.126,-2.4,-3.1,21.7,21.8
07,385426.75,-2.6,-3,21.7,21.9
08,385427.374,-2.7,-3.1,21.8,21.9
09,385427.999,-2.7,-3.1,21.8,21.9
00,385428.748,-2.8,-3.2,21.8,21.9
01,385429.373,-2.8,-3.2,21.8,21.9
02,385429.997,-2.7,-3.2,21.8,21.9
03,385430.622,-2.6,-3.1,21.9,21.9
04,385431.246,-2.7,-3,22,21.9
05,385431.996,-2.8,-3.2,22,22
06,385432.62,-2.8,-3.2,22.1,22.2
07,385433.245,-2.9,-3.2,22.2,22.4
08,385433.869,-3,-3.3,22.2,22.5
09,385434.494,-3,-3.3,22.1,22.5
00,385435.243,-3.1,-3.3,22,22.5
01,385435.868,-3.2,-3.5,22,22.4
02,385436.492,-3.2,-3.6,21.9,22.2
03,385437.117,-3.3,-3.8,22,22.2
04,385437.741,-3.3,-3.8,22.1,22.2
05,385438.366,-3.2,-3.7,22.3,22.4
06,385439.115,-3.2,-3.7,22.3,22.4
07,385439.74,-3.2,-3.8,22.2,22.4
08,385440.364,-3.3,-3.8,22.2,22.4
09,385440.989,-3.4,-3.8,22.1,22.3
00,385441.613,-3.6,-4,22,22.2
01,385442.362,-3.6,-4.1,21.9,22.1
02,385442.987,-3.5,-4,21.9,22.1
03,385443.611,-3.3,-3.8,21.9,22
04,385444.236,-3.1,-3.6,21.9,21.9
05,385444.861,-3.2,-3.8,21.8,21.7
06,385445.61,-3.4,-3.9,21.7,21.7
07,385446.234,-3.4,-3.9,21.7,21.7
08,385446.859,-3.4,-3.8,21.8,21.7
09,385447.483,-3.2,-3.7,21.7,21.6
00,385448.233,-3,-3.5,21.5,21.4
01,385448.857,-3,-3.5,21.3,21.3
02,385449.482,-3,-3.6,21.2,21.3
03,385450.106,-3,-3.5,21,21.3
04,385450.731,-3,-3.6,20.9,21.2
05,385451.48,-3,-3.5,20.8,21.1
06,385452.105,-2.9,-3.3,20.8,21
07,385452.729,-2.9,-3.4,20.9,20.9
08,385453.354,-3,-3.5,20.8,20.8
09,385453.978,-3.1,-3.5,20.8,20.7
00,385454.603,-3.1,-3.6,20.6,20.6
01,385455.352,-3.3,-3.5,20.4,20.5
02,385455.977,-3.3,-3.6,20.3,20.5
03,385456.601,-3.3,-3.5,20.3,20.5
04,385457.226,-3.1,-3.4,20.2,20.4
05,385457.85,-3,-3.3,20.3,20.3
06,385458.6,-2.9,-3.2,20.4,20.4
07,385459.224,-3,-3.2,20.5,20.4
08,385459.849,-3.3,-3.4,20.5,20.5
09,385460.473,-3.3,-3.4,20.6,20.6
00,385461.098,-3.3,-3.4,20.7,20.8
01,385461.847,-3.2,-3.5,20.9,21
02,385462.471,-3.1,-3.5,21,21.1
03,385463.096,-3.1,-3.4,21.1,21.2
04,385463.721,-3.2,-3.5,21.2,21.3
05,385464.345,-3.2,-3.5,21.2,21.4
06,385465.094,-3.2,-3.7,21.2,21.4
07,385465.719,-3.2,-3.6,21.2,21.4
08,385466.343,-3,-3.6,21.2,21.5
09,385466.968,-2.9,-3.5,21.1,21.5
00,385467.593,-2.9,-3.5,21.2,21.5
01,385468.342,-3,-3.6,21.3,21.6
02,385468.966,-3.1,-3.7,21.3,21.7
03,385469.591,-3.2,-3.7,21.4,21.7
04,385470.216,-3.3,-3.7,21.4,21.8
05,385470.965,-3.4,-3.8,21.5,21.9
06,385471.589,-3.2,-3.7,21.5,22
07,385472.214,-3.1,-3.7,21.4,22
08,385472.838,-3,-3.7,21.4,22
09,385473.463,-3.1,-3.9,21.5,22
00,385474.087,-3.1,-3.7,21.5,22
01,385474.837,-3.1,-3.5,21.4,21.7
02,385475.461,-2.9,-3.3,21.4,21.5
03,385476.086,-2.8,-3.2,21.4,21.5
04,385476.71,-2.8,-3.3,21.4,21.4
05,385477.335,-2.9,-3.5,21.3,21.3
06,385478.084,-2.9,-3.5,21.3,21.4
07,385478.709,-2.9,-3.3,21.3,21.5
08,385479.333,-3,-3.4,21.1,21.4
09,385479.957,-2.8,-3.3,21,21.3
00,385480.582,-2.7,-3.1,20.9,21.2
01,385481.332,-2.8,-3.1,20.8,21.1
02,385481.956,-2.8,-3.2,20.8,21
03,385482.581,-2.8,-3.1,20.8,21
04,385483.205,-2.8,-3.2,20.7,20.9
05,385483.829,-2.8,-3.3,20.7,20.9
06,385484.454,-2.6,-3.2,20.5,20.8
07,385485.203,-2.3,-3,20.4,20.6
08,385485.828,-2.2,-2.8,20.2,20.4
09,385486.453,-2.1,-2.8,20,20.2
00,385487.077,-2.3,-3,19.9,20.1
01,385487.827,-2.5,-3,19.7,20.1
02,385488.451,-2.6,-3,19.6,20
03,385489.075,-2.5,-3.1,19.6,20
04,385489.7,-2.5,-3,19.6,20
05,385490.324,-2.4,-3,19.7,20.1
06,385490.949,-2.3,-2.8,19.8,20.1
07,385491.698,-2.2,-2.7,19.9,20.2
08,385492.323,-2.5,-2.9,20,20.2
09,385493.197,-2.6,-2.9,20.1,20.4
00,385493.822,-2.6,-3,20.2,20.7
01,385494.446,-2.6,-3.1,20.3,20.9
02,385495.07,-2.4,-3,20.5,20.9
03,385495.695,-2.2,-2.8,20.6,20.9
04,385496.32,-2.2,-2.8,20.8,20.9
05,385496.944,-2.3,-2.9,20.8,21.1
06,385497.569,-2.3,-2.9,20.8,21.1
07,385498.318,-2.5,-3,20.7,21.2
08,385498.943,-2.6,-2.9,20.8,21.4
09,385499.567,-2.7,-2.9,20.8,21.4
00,385500.191,-2.4,-2.8,20.7,21.2
01,385500.816,-2.3,-2.8,20.7,21.2
02,385501.565,-2.4,-2.9,20.9,21.4
03,385502.19,-2.4,-3,21,21.4
04,385502.814,-2.6,-3.2,21.1,21.4
05,385503.439,-2.6,-3.2,21.2,21.3
06,385504.188,-2.5,-3.2,21.2,21.2
07,385504.813,-2.4,-3.1,21.2,21.3
08,385505.437,-2.4,-3.1,21.1,21.3
09,385506.061,-2.5,-3.2,21,21.2
00,385506.686,-2.4,-3.1,20.9,21.1
01,385507.31,-2.1,-2.9,20.7,20.9
02,385508.06,-2,-2.9,20.6,20.7
03,385508.684,-2,-2.8,20.5,20.6
04,385509.309,-2.1,-2.9,20.5,20.6
05,385509.933,-2.1,-2.9,20.5,20.6
06,385510.558,-2.1,-3,20.5,20.6
07,385511.307,-2,-2.8,20.6,20.6
08,385511.932,-2,-2.5,20.5,20.6
09,385512.556,-1.9,-2.5,20.3,20.6
00,385513.181,-1.8,-2.4,20.1,20.4
01,385513.805,-2,-2.5,19.9,20.2
02,385514.555,-2.1,-2.6,19.8,20.1
03,385515.179,-2.1,-2.7,19.8,20.2
04,385515.804,-2.1,-2.7,19.8,20.2
05,385516.428,-2.2,-2.5,19.8,20.2
06,385517.052,-2.2,-2.6,19.5,20.1
07,385517.802,-2.2,-2.5,19.2,19.8
08,385518.426,-2,-2.3,19,19.5
09,385519.051,-2,-2.3,18.8,19.3
00,385519.675,-2.1,-2.3,18.8,19.2
01,385520.3,-2.2,-2.4,18.8,19.2
