里程,左轨平面偏差量,右轨平面偏差量,左轨高程偏差量,右轨高程偏差量,左轨平面调整量,右轨平面调整量,左轨高程调整量,右轨高程调整量
384818.37,3.70,3.30,7.30,7.70,-1.00,-1.00,2.50,2.00
384819.00,3.70,3.30,7.50,7.80,-0.50,-0.50,2.50,2.00
384819.75,3.70,3.20,7.50,7.80,-1.00,-0.50,2.50,2.00
384820.37,3.50,3.00,7.50,7.80,-0.50,-0.50,2.50,2.00
384821.00,3.30,2.90,7.60,7.80,-0.50,-0.50,2.50,2.50
384821.62,3.30,2.90,7.80,7.90,-0.50,-0.50,2.50,2.50
384822.25,3.40,2.90,7.90,8.20,-0.50,-0.50,2.50,2.00
384823.00,3.40,3.00,8.10,8.40,-0.50,-0.50,2.00,1.50
384823.62,3.50,3.10,8.30,8.50,-0.50,-0.50,1.50,1.50
384824.25,3.60,3.30,8.40,8.50,-0.50,-0.50,1.50,1.50
384824.87,3.60,3.20,8.40,8.40,-0.50,-0.50,1.50,1.50
384825.50,3.40,2.90,8.40,8.30,-0.50,-0.50,1.50,1.50
384826.25,3.30,2.90,8.50,8.50,-0.50,-0.50,1.50,1.50
384826.87,3.20,2.80,8.60,8.70,-0.50,-0.50,1.50,1.50
384827.50,3.10,2.80,8.80,9.00,-0.50,-0.50,1.50,1.50
384828.12,3.20,2.90,8.90,9.20,-0.50,-0.50,1.50,1.00
384828.75,3.40,3.00,9.00,9.20,-0.50,-0.50,1.00,1.00
384829.50,3.50,3.20,9.00,9.10,-0.50,-0.50,1.00,1.00
384830.12,3.60,3.40,8.90,8.90,-1.00,-1.00,1.50,1.50
384830.75,3.50,3.40,8.70,8.80,-1.00,-1.00,1.50,1.50
384831.37,3.30,3.20,8.80,8.80,-0.50,-0.50,1.50,1.50
384832.00,3.30,3.10,8.90,9.00,-0.50,-0.50,1.00,1.00
384832.75,3.30,3.20,9.10,9.00,-0.50,-0.50,1.00,1.00
384833.37,3.40,3.40,9.20,9.10,-0.50,-1.00,1.00,1.00
384833.99,3.60,3.40,9.40,9.30,-1.00,-1.00,1.00,1.00
384834.62,3.90,3.40,9.50,9.30,-1.00,-1.00,1.00,1.00
384835.24,3.90,3.30,9.40,9.30,-1.00,-0.50,1.00,1.00
384836.00,3.80,3.40,9.20,9.10,-1.00,-1.00,1.00,1.00
384836.62,3.40,3.30,9.20,9.20,-0.50,-0.50,1.00,1.00
384837.24,3.20,3.20,9.30,9.60,-0.50,-0.50,1.00,0.50
384837.87,3.10,3.20,9.60,9.80,0.00,-0.50,0.50,0.50
384838.49,3.20,3.10,9.70,10.00,-0.50,-0.50,1.00,0.50
384839.24,3.60,3.20,9.80,10.00,-1.00,-1.00,0.50,0.50
384839.87,3.60,3.00,9.80,10.00,-1.00,-0.50,0.50,0.50
384840.49,3.50,2.80,9.80,9.90,-0.50,0.00,0.50,0.50
384841.12,3.40,2.80,9.70,10.00,-1.00,-0.50,1.00,0.50
384841.74,3.10,2.60,9.70,10.10,-0.50,0.00,0.50,0.00
384842.49,2.80,2.50,9.90,10.30,0.00,0.00,0.50,0.00
384843.12,2.90,2.60,10.10,10.50,0.00,0.00,0.00,-0.50
384843.74,3.10,2.90,10.20,10.60,-0.50,-0.50,0.00,-0.50
384844.37,3.20,3.00,10.40,10.70,-0.50,-0.50,0.00,-0.50
384844.99,3.40,3.10,10.50,10.90,-0.50,-0.50,0.00,-0.50
384845.62,3.40,3.30,10.40,10.80,-0.50,-0.50,0.00,-0.50
384846.37,3.20,3.10,10.30,10.70,-0.50,-0.50,0.00,-0.50
384846.99,3.10,2.80,10.30,10.70,-0.50,-0.50,0.00,-0.50
384847.62,3.10,2.60,10.40,10.80,-0.50,0.00,0.00,-0.50
384848.24,3.20,2.70,10.60,10.90,-0.50,0.00,-0.50,-1.00
384848.87,3.20,2.80,10.60,10.90,-0.50,-0.50,-0.50,-1.00
384849.62,3.30,2.70,10.60,10.90,-0.50,0.00,-0.50,-1.00
384850.24,3.40,2.80,10.50,10.90,-0.50,0.00,0.00,-0.50
