里程,左轨平面偏差量,右轨平面偏差量,左轨高程偏差量,右轨高程偏差量,左轨平面调整量,右轨平面调整量,左轨高程调整量,右轨高程调整量
384993.83,0.10,0.10,10.40,10.90,0.50,0.00,7.00,6.50
384994.46,0.20,0.20,10.60,11.00,0.00,-0.50,7.00,6.50
384995.21,0.50,0.10,10.70,11.10,0.00,0.00,7.00,6.50
384995.83,0.60,0.10,10.80,11.20,0.00,0.00,7.00,6.50
384996.46,0.50,-0.10,10.90,11.30,0.00,0.50,6.50,6.00
384997.08,0.40,0.00,11.00,11.40,0.00,0.00,6.50,6.00
384997.71,0.50,0.30,11.20,11.50,0.00,0.00,6.50,6.00
384998.46,0.60,0.30,11.30,11.50,0.00,0.00,6.00,6.00
384999.08,0.40,0.20,11.50,11.70,0.00,0.00,6.00,6.00
384999.71,0.20,0.00,11.70,11.80,0.00,0.00,6.00,6.00
385000.33,0.30,0.20,11.70,11.80,0.00,0.00,6.00,6.00
385000.96,0.40,0.10,11.70,11.80,0.00,0.00,6.00,6.00
385001.71,0.40,0.20,11.90,11.80,0.00,0.00,5.50,5.50
385002.33,0.40,0.20,12.00,12.00,0.00,0.00,5.50,5.50
385002.96,0.50,0.20,12.10,12.10,0.00,0.00,5.50,5.50
385003.58,0.50,0.30,12.10,12.00,0.00,0.00,5.50,5.50
385004.21,0.50,0.20,12.00,12.00,0.00,0.00,5.50,5.50
385004.96,0.50,0.20,11.90,11.90,0.00,0.00,5.50,5.50
385005.58,0.40,-0.10,11.80,11.90,0.00,0.50,6.00,6.00
385006.21,0.20,-0.20,11.90,12.00,0.00,0.00,5.50,5.50
385006.83,0.10,-0.30,11.90,12.20,0.50,0.50,5.50,5.00
385007.45,0.10,-0.30,12.00,12.30,0.50,0.50,6.00,5.50
385008.08,0.20,-0.30,12.10,12.40,0.00,0.50,5.50,5.00
385008.83,0.30,0.00,12.20,12.40,0.00,0.00,5.00,5.00
385009.45,0.30,-0.20,12.20,12.40,0.00,0.50,5.00,5.00
385010.08,0.40,-0.20,12.20,12.30,0.00,0.50,5.50,5.50
385010.70,0.50,0.00,12.20,12.30,0.00,0.00,5.50,5.50
385011.33,0.60,0.00,12.30,12.40,-0.50,0.00,5.00,5.00
385012.08,0.70,-0.10,12.30,12.40,-0.50,0.00,5.00,5.00
385012.70,0.70,0.00,12.30,12.40,-0.50,0.00,5.50,5.50
385013.33,0.70,0.00,12.40,12.30,-0.50,0.00,5.00,5.00
385013.95,0.70,0.00,12.40,12.20,-0.50,0.00,5.00,5.00
385014.58,0.80,-0.10,12.20,12.10,-0.50,0.00,5.50,5.50
385015.33,0.80,-0.30,12.10,12.00,-0.50,0.50,5.50,5.50
385015.95,0.80,-0.50,12.00,12.00,-0.50,0.50,5.50,5.50
385016.58,0.80,-0.40,12.10,12.10,-0.50,0.50,5.50,5.50
385017.20,0.70,-0.40,12.20,12.20,-0.50,0.50,5.50,5.50
385017.83,0.60,-0.40,12.40,12.30,-0.50,0.50,5.50,5.50
385018.70,0.50,-0.20,12.90,12.60,0.00,0.50,4.50,5.00
385019.33,0.60,0.00,13.00,12.70,-0.50,0.00,4.50,5.00
385019.95,0.70,0.20,13.20,12.90,-0.50,-0.50,4.00,4.50
385020.58,0.60,0.00,13.50,13.20,-0.50,0.00,4.00,4.50
385021.20,0.60,-0.10,13.60,13.60,-0.50,0.00,4.00,4.00
385021.83,0.70,0.10,13.70,13.80,-0.50,0.00,4.00,4.00
385022.45,0.60,0.10,13.60,13.90,-0.50,-0.50,4.00,3.50
385023.20,0.50,-0.20,13.70,14.10,-0.50,0.00,4.00,3.50
385023.83,0.50,-0.30,13.70,14.20,0.00,0.50,4.00,3.50
385024.45,0.30,-0.60,13.80,14.30,0.00,0.50,4.00,3.50
385025.08,0.20,-0.60,13.90,14.40,0.00,0.50,4.00,3.50
385025.70,0.10,-0.70,14.00,14.40,0.00,0.50,4.00,3.50
385026.33,0.20,-0.70,14.20,14.50,0.00,0.50,3.50,3.00
385027.08,0.30,-0.50,14.30,14.50,0.00,0.50,3.50,3.50
385027.70,0.30,-0.40,14.40,14.60,0.00,0.50,3.50,3.50
385028.33,0.30,-0.50,14.70,14.70,0.00,0.50,3.00,3.00
385028.95,0.30,-0.60,14.80,14.90,0.00,0.50,3.00,3.00
385029.70,0.20,-0.50,14.80,15.00,0.00,0.50,3.00,3.00
385030.33,0.10,-0.40,14.80,15.00,0.00,0.50,3.00,3.00
385030.95,0.10,-0.20,14.60,15.00,0.00,0.00,3.00,2.50
385031.58,-0.10,-0.20,14.50,15.00,0.00,0.00,3.00,2.50
385032.20,-0.20,-0.50,14.40,14.80,0.50,0.50,3.50,3.00
385032.95,-0.20,-0.50,14.30,14.60,0.50,0.50,3.50,3.00
385033.57,-0.40,-0.50,14.30,14.60,0.50,0.50,3.50,3.00
385034.20,-0.40,-0.50,14.40,14.50,0.50,0.50,3.50,3.50
385034.82,-0.30,-0.20,14.40,14.50,0.50,0.00,3.50,3.50
385035.45,-0.20,-0.20,14.50,14.70,0.50,0.00,3.00,3.00
385036.20,-0.20,-0.20,14.70,14.90,0.50,0.00,3.00,3.00
385036.82,-0.10,-0.10,14.80,15.00,0.50,0.00,3.00,3.00
385037.45,-0.10,-0.10,14.80,15.00,0.00,0.00,3.00,3.00
385038.07,-0.10,-0.10,14.80,14.90,0.00,-0.50,3.00,3.00
385038.70,-0.10,0.00,14.80,14.80,0.00,-0.50,3.00,3.00
385039.45,-0.20,0.00,14.80,14.80,0.50,0.00,3.00,3.00
385040.07,-0.10,0.10,14.80,14.80,0.00,-0.50,3.00,3.00
385040.70,-0.10,0.20,14.80,14.90,0.00,-0.50,3.00,3.00
385041.32,-0.10,0.10,14.90,15.10,0.00,-0.50,3.00,3.00
385041.95,-0.10,-0.10,15.00,15.20,0.00,0.00,3.00,3.00
385042.70,-0.10,-0.40,15.20,15.20,0.00,0.00,2.50,2.50
385043.32,0.10,-0.30,15.30,14.90,0.00,0.00,2.50,3.00
385043.95,0.40,-0.10,15.40,14.50,-0.50,0.00,2.50,3.50
385044.57,0.30,0.00,15.50,14.20,0.00,0.00,2.00,3.50
385045.20,0.20,-0.20,15.50,14.00,0.00,0.00,2.50,4.00
385045.95,0.10,-0.40,15.30,14.20,0.00,0.00,2.50,3.50
385046.57,0.00,-0.40,15.00,14.30,0.00,0.00,3.00,3.50
385047.20,0.10,-0.30,14.80,14.30,0.00,0.00,3.00,3.50
385047.82,0.10,-0.20,14.60,14.40,0.00,0.00,3.50,3.50
385048.45,0.10,0.00,14.70,14.50,-0.50,-0.50,3.50,3.50
385049.07,0.00,-0.10,14.80,14.60,0.00,0.00,3.50,3.50
385049.82,0.00,-0.20,15.00,14.80,0.00,0.00,3.00,3.00
385050.45,0.00,-0.30,15.10,14.90,0.00,0.00,3.50,3.50
385051.07,-0.10,-0.50,15.10,15.10,0.00,0.00,3.00,3.00
385051.70,-0.20,-0.60,15.00,15.20,0.00,0.00,3.00,3.00
385052.32,-0.10,-0.30,14.80,14.90,0.00,0.00,3.50,3.50
385053.07,0.10,-0.20,14.90,14.60,0.00,0.00,3.00,3.50
385053.70,0.10,-0.40,15.10,14.40,0.00,0.00,3.00,3.50
385054.32,0.30,-0.40,15.30,14.10,-0.50,0.00,3.50,4.50
385054.95,0.30,-0.30,15.40,13.80,-0.50,0.00,3.00,4.50
385055.57,0.20,-0.10,15.50,13.80,-0.50,-0.50,3.00,4.50
385056.32,0.00,-0.20,15.60,13.80,-0.50,-0.50,2.50,4.50
385056.95,-0.10,-0.30,15.60,14.00,0.00,0.00,3.00,4.50
385057.57,-0.10,-0.50,15.50,14.40,0.00,0.00,3.00,4.00
385058.20,-0.10,-0.50,15.50,14.80,0.00,0.00,3.00,3.50
385058.82,0.00,-0.60,15.60,15.40,-0.50,0.00,3.00,3.00
385059.57,-0.10,-0.70,15.70,15.70,-0.50,0.00,3.00,3.00
385060.19,-0.20,-1.10,15.80,15.90,0.00,0.50,3.00,3.00
385060.82,-0.10,-1.20,16.00,15.90,-0.50,0.50,3.00,3.00
385061.44,0.10,-1.20,16.10,15.80,-0.50,0.50,2.50,3.00
385062.07,0.20,-1.30,16.20,15.70,-0.50,0.50,2.50,3.00
385062.69,0.30,-1.20,16.20,15.70,-0.50,0.50,2.50,3.00
385063.44,0.20,-1.30,16.30,15.90,-0.50,0.50,2.50,3.00
385064.07,0.10,-1.40,16.30,16.20,0.00,1.00,2.50,2.50
385064.69,0.00,-1.40,16.30,16.40,-0.50,0.50,3.00,3.00
385065.32,-0.20,-1.40,16.30,16.40,0.00,1.00,3.00,3.00
385066.07,-0.20,-1.20,16.50,16.60,0.00,0.50,2.50,2.50
385066.69,-0.30,-1.20,16.70,16.60,0.00,0.50,2.50,2.50
385067.32,-0.20,-0.90,16.80,16.50,-0.50,0.00,2.50,3.00
385067.94,0.00,-0.70,16.90,16.40,-0.50,0.00,2.50,3.00
385068.57,0.00,-0.70,17.10,16.40,-0.50,0.00,2.50,3.00
385069.32,0.00,-0.70,17.40,16.50,-0.50,0.00,2.00,3.00
385069.94,-0.10,-0.60,17.40,16.30,-0.50,0.00,2.00,3.00
385070.57,-0.20,-0.60,17.20,16.10,0.00,0.00,2.50,3.50
385071.19,-0.30,-0.70,17.10,16.10,0.00,0.00,2.50,3.50
385071.82,-0.30,-0.90,17.10,16.30,-0.50,0.00,2.50,3.50
385072.57,-0.20,-1.00,17.10,16.50,-0.50,0.00,3.00,3.50
385073.19,-0.20,-1.10,17.30,16.70,-0.50,0.00,2.50,3.00
385073.82,-0.20,-1.30,17.50,16.90,-0.50,0.50,2.50,3.00
385074.44,-0.20,-1.30,17.70,16.90,-0.50,0.50,2.50,3.50
385075.07,-0.20,-1.40,17.70,16.90,-0.50,0.50,2.00,3.00
385075.82,-0.10,-1.40,17.60,16.80,-0.50,0.50,2.50,3.50
385076.44,-0.10,-1.30,17.30,16.80,-0.50,0.50,3.00,3.50
385077.07,-0.10,-1.20,17.10,16.70,-1.00,0.00,3.00,3.50
385077.69,-0.30,-1.10,16.90,16.80,-0.50,0.00,3.50,3.50
385078.32,-0.50,-0.90,16.80,17.00,-0.50,-0.50,3.50,3.50
385079.07,-0.60,-0.80,16.80,17.20,0.00,0.00,4.00,3.50
385079.69,-0.70,-0.90,16.80,17.10,0.00,0.00,4.00,3.50
385080.32,-0.70,-1.00,16.70,16.90,0.00,0.00,3.50,3.50
385080.94,-0.50,-1.00,16.60,16.80,-0.50,0.00,4.00,4.00
385081.57,-0.40,-1.00,16.50,16.80,-0.50,0.00,4.50,4.00
385082.32,-0.40,-1.20,16.50,16.80,-0.50,0.00,4.50,4.00
385082.94,-0.60,-1.30,16.50,16.80,-0.50,0.00,4.50,4.00
385083.57,-0.80,-1.40,16.70,16.90,-0.50,0.00,4.50,4.50
385084.19,-1.00,-1.40,17.00,17.20,0.00,0.00,4.00,4.00
385084.82,-1.10,-1.30,17.30,17.40,0.00,0.00,4.00,4.00
385085.57,-1.30,-1.40,17.60,17.70,0.50,0.50,3.50,3.50
385086.19,-1.40,-1.50,17.90,17.90,0.50,0.50,3.50,3.50
385086.82,-1.60,-1.90,18.00,18.00,0.50,0.50,3.50,3.50
385087.44,-1.80,-2.20,18.00,17.90,1.00,1.00,3.50,3.50
385088.07,-1.70,-2.30,18.00,17.80,0.50,1.00,3.50,3.50
385088.82,-1.90,-2.40,18.10,17.90,1.00,1.00,3.50,3.50
385089.44,-1.90,-2.30,18.30,18.10,1.00,1.00,3.50,3.50
385090.06,-2.00,-2.10,18.40,18.20,1.00,1.00,3.50,3.50
385090.69,-2.10,-2.00,18.50,18.30,1.00,0.50,3.00,3.00
385091.44,-2.20,-2.20,18.80,18.50,1.00,1.00,3.00,3.50
385092.07,-2.40,-2.40,19.00,18.90,1.50,1.00,3.00,3.00
385092.69,-2.90,-3.00,19.10,19.20,2.00,2.00,3.00,3.00
385093.31,-3.30,-3.40,19.00,19.30,2.00,2.00,3.00,2.50
385093.94,-3.30,-3.40,18.80,19.10,2.00,2.00,3.00,2.50
385094.69,-3.20,-3.10,18.40,18.60,2.00,1.50,3.50,3.50
385095.31,-3.30,-2.90,18.50,18.60,2.00,1.50,3.50,3.50
385095.94,-3.50,-2.70,19.20,19.20,2.50,1.50,3.00,3.00
385096.56,-3.60,-2.60,19.80,19.90,2.50,1.00,2.50,2.50
385097.19,-3.80,-2.50,19.90,20.10,2.50,1.00,2.50,2.50
385097.94,-3.80,-2.40,20.00,20.20,2.50,1.00,2.50,2.50
385098.56,-3.80,-2.30,20.10,20.40,2.50,1.00,2.50,2.00
385099.19,-3.80,-2.20,20.30,20.50,2.50,0.50,2.00,2.00
385099.81,-4.00,-2.20,20.40,20.50,3.00,1.00,2.00,2.00
385100.44,-3.90,-2.20,20.40,20.30,2.50,0.50,2.50,2.50
385101.19,-3.60,-1.90,20.40,20.30,2.50,0.50,2.50,2.50
385101.81,-3.60,-1.90,20.40,20.50,2.50,0.50,2.50,2.50
385102.44,-3.60,-1.80,20.50,20.80,2.50,0.50,2.50,2.00
385103.06,-3.50,-1.80,20.50,21.00,2.50,0.50,2.50,2.00
385103.69,-3.50,-2.40,20.60,21.00,2.50,1.00,2.50,2.00
385104.44,-3.30,-2.70,20.60,21.00,2.00,1.00,2.00,1.50
385105.06,-3.10,-2.60,20.70,21.00,2.00,1.00,2.00,1.50
385105.69,-2.80,-2.60,20.70,20.80,1.50,1.00,2.00,2.00
385106.31,-2.70,-2.60,20.70,20.70,1.50,1.00,2.50,2.50
385106.94,-2.60,-2.50,20.70,20.60,1.50,1.00,2.50,2.50
385107.69,-2.70,-2.30,20.70,20.50,1.50,1.00,2.50,2.50
385108.31,-2.80,-2.30,20.60,20.70,1.50,1.00,2.50,2.50
385108.94,-2.90,-2.20,20.50,20.90,1.50,0.50,2.50,2.00
385109.56,-3.00,-2.30,20.30,21.00,1.50,0.50,2.50,2.00
385110.19,-3.00,-2.20,20.20,20.90,1.50,0.50,3.00,2.50
385110.81,-2.80,-2.00,20.20,20.70,1.50,0.50,3.00,2.50
385111.56,-2.60,-1.80,20.50,20.50,1.50,0.50,2.50,2.50
385112.19,-2.40,-1.70,20.70,20.50,1.00,0.00,2.50,2.50
385112.81,-2.30,-1.70,20.90,20.50,1.00,0.00,2.50,3.00
385113.44,-2.20,-1.70,20.80,20.40,1.00,0.00,2.50,3.00
385114.06,-2.10,-1.70,20.50,20.20,0.50,0.00,2.50,3.00
385114.69,-2.30,-1.70,20.20,20.00,1.00,0.00,3.00,3.00
385115.44,-2.70,-1.90,19.80,19.90,1.50,0.50,3.50,3.50
385116.06,-2.80,-1.80,19.60,19.80,1.00,0.00,4.00,4.00
385116.69,-2.70,-1.50,19.60,19.80,1.50,0.00,3.50,3.50
385117.31,-2.60,-1.50,19.80,19.90,1.50,0.00,3.50,3.50
385118.06,-2.50,-1.50,20.10,19.90,1.00,0.00,3.50,3.50
385118.69,-2.40,-1.60,20.30,19.70,1.00,0.00,3.50,4.00
385119.31,-2.40,-1.80,20.50,19.50,1.00,0.00,3.00,4.00
385119.94,-2.60,-2.00,20.60,19.60,1.00,0.00,3.00,4.00
385120.56,-2.80,-2.10,20.60,19.80,1.50,0.50,3.00,4.00
385121.31,-2.90,-2.10,20.30,19.90,1.50,0.50,3.50,4.00
385121.93,-2.90,-2.00,20.10,19.90,1.50,0.50,3.50,3.50
385122.56,-2.90,-1.90,20.00,19.90,1.50,0.50,3.50,3.50
385123.18,-3.00,-2.00,20.20,20.00,1.50,0.50,3.50,3.50
385123.81,-3.00,-2.10,20.30,20.10,1.50,0.50,3.50,3.50
385124.56,-2.90,-2.30,20.50,20.20,1.50,0.50,3.00,3.50
385125.18,-2.70,-2.40,20.70,20.30,1.50,1.00,3.00,3.50
385125.81,-2.60,-2.70,20.80,20.50,1.00,1.00,3.00,3.50
385126.43,-2.70,-2.80,21.10,20.90,1.00,1.00,3.00,3.00
385127.06,-2.60,-2.70,21.30,21.10,1.00,1.00,2.50,2.50
385127.81,-2.40,-2.30,21.60,21.10,1.00,0.50,2.00,2.50
385128.43,-2.40,-2.10,21.70,21.30,1.00,0.50,2.00,2.50
385129.18,-2.60,-2.30,21.80,21.20,1.00,0.50,2.00,2.50
385129.73,-2.70,-2.20,21.90,21.60,1.50,0.50,1.50,2.00
385130.35,-2.80,-2.10,22.20,21.90,1.50,0.50,1.50,2.00
385130.98,-2.80,-2.10,22.30,22.10,1.50,0.50,1.50,1.50
385131.60,-2.70,-2.20,22.40,22.00,1.50,0.50,1.50,2.00
385132.35,-2.60,-2.40,22.30,21.90,1.00,0.50,1.50,2.00
385132.98,-2.60,-2.60,22.30,21.90,1.00,1.00,1.50,2.00
385133.60,-2.50,-2.50,22.20,22.10,1.00,1.00,1.50,1.50
385134.23,-2.30,-2.50,21.90,22.00,1.00,1.00,2.00,2.00
385134.85,-2.10,-2.50,21.50,21.80,0.50,0.50,2.50,2.00
385135.60,-1.90,-2.80,20.80,21.20,0.50,1.00,3.00,2.50
385136.22,-1.80,-2.90,20.40,20.60,0.50,1.50,3.00,3.00
385136.85,-1.70,-3.10,20.10,20.10,0.50,1.50,4.00,4.00
385137.47,-1.70,-3.10,19.90,19.70,0.50,1.50,4.00,4.00
385138.10,-1.60,-3.00,19.80,19.60,0.00,1.00,4.50,4.50
385138.85,-1.40,-2.80,19.90,19.60,0.00,1.00,4.00,4.50
385139.47,-1.40,-2.70,20.00,19.70,0.00,1.00,4.00,4.50
385140.10,-1.30,-2.40,20.00,19.60,-0.50,0.50,4.00,4.50
385140.72,-1.20,-2.10,20.10,19.60,0.00,0.50,4.00,4.50
385141.34,-1.40,-2.10,20.10,19.80,0.00,0.50,3.50,4.00
385142.09,-1.80,-2.00,20.30,20.20,0.50,0.50,3.50,3.50
385142.72,-1.80,-1.70,20.60,20.70,0.50,0.00,3.00,3.00
385143.34,-1.70,-1.30,21.00,21.20,0.00,-0.50,3.00,3.00
385143.97,-1.50,-1.00,21.40,21.60,0.00,-0.50,2.50,2.50
385144.59,-1.40,-0.90,21.70,21.80,-0.50,-1.00,2.00,2.00
385145.22,-1.40,-1.40,21.70,21.80,0.00,-0.50,2.00,2.00
385145.96,-1.40,-1.80,21.40,21.50,0.00,0.00,2.50,2.50
385146.59,-1.30,-2.00,21.10,21.20,0.00,0.50,2.50,2.50
385147.21,-1.20,-2.00,21.00,21.00,0.00,0.50,3.00,3.00
385147.84,-1.10,-2.00,20.90,20.90,0.00,0.50,3.00,3.00
385148.46,-1.00,-2.00,21.00,21.10,-0.50,0.50,3.00,3.00
385149.21,-1.00,-2.00,21.20,21.30,-0.50,0.50,2.50,2.50
385149.84,-1.00,-2.00,21.30,21.50,-0.50,0.50,2.50,2.50
385150.46,-1.10,-2.10,21.60,21.70,-0.50,0.50,2.00,2.00
385151.08,-1.10,-2.00,21.80,21.80,-0.50,0.00,2.00,2.00
385151.71,-1.00,-1.90,21.90,21.80,-0.50,0.00,2.00,2.00
385152.46,-1.00,-1.70,22.10,21.80,-0.50,0.00,2.00,2.50
385153.08,-1.00,-1.70,22.40,22.00,-0.50,0.00,1.50,2.00
385153.71,-1.00,-1.60,22.60,22.10,-0.50,0.00,1.50,2.00
385154.33,-1.10,-1.50,22.80,22.30,0.00,0.00,1.00,1.50
385154.96,-1.20,-1.40,23.00,22.60,0.00,0.00,1.00,1.50
385155.71,-1.40,-1.50,22.80,23.00,0.00,0.00,1.00,1.00
385156.33,-1.60,-1.90,22.40,23.00,0.00,0.00,1.50,1.00
385156.95,-1.70,-2.10,22.00,22.90,0.00,0.00,2.00,1.00
385157.58,-1.60,-2.20,21.50,22.50,0.00,0.50,2.50,1.50
385158.33,-1.50,-2.20,21.10,22.00,0.00,0.50,3.00,2.00
385158.95,-1.40,-2.40,20.90,21.80,0.00,0.50,3.00,2.00
385159.58,-1.50,-2.70,21.00,21.80,0.00,1.00,3.00,2.00
385160.20,-1.80,-3.10,21.00,22.00,0.50,1.50,3.00,2.00
385160.83,-1.90,-3.30,20.90,22.00,0.50,1.50,3.00,2.00
385161.58,-1.90,-3.30,20.80,21.80,0.50,1.50,3.00,2.00
385162.20,-1.90,-3.20,20.70,21.60,0.50,1.50,3.00,2.00
385162.82,-2.00,-3.10,20.70,21.50,0.50,1.50,3.00,2.00
385163.45,-2.20,-3.20,20.70,21.40,0.50,1.50,3.00,2.50
385164.07,-2.20,-3.30,20.60,21.40,0.50,1.50,3.50,2.50
385164.82,-2.20,-3.30,20.60,21.50,0.50,1.50,3.50,2.50
385165.45,-2.30,-3.50,20.60,21.60,1.00,2.00,3.50,2.50
385166.07,-2.50,-3.70,20.70,21.70,1.00,2.00,3.00,2.00
385166.70,-2.50,-3.80,20.80,21.80,1.00,2.00,3.00,2.00
385167.32,-2.50,-3.80,21.00,22.00,1.00,2.00,3.00,2.00
385167.94,-2.40,-3.70,21.10,22.20,1.00,2.00,2.50,1.50
385168.69,-2.30,-3.70,21.00,22.30,1.00,2.00,3.00,1.50
385169.32,-2.00,-3.40,20.90,22.10,0.50,1.50,3.00,2.00
385169.94,-1.90,-3.20,20.80,22.00,0.50,1.50,3.00,2.00
385170.57,-2.00,-3.10,20.70,21.90,0.50,1.50,3.00,2.00
385171.32,-2.00,-3.10,20.50,21.70,0.50,1.50,3.00,2.00
385171.94,-2.00,-3.20,20.50,21.60,0.50,1.50,3.50,2.50
385172.57,-2.00,-3.40,20.60,21.70,0.50,1.50,3.50,2.50
385173.19,-2.00,-3.50,20.70,21.80,0.50,1.50,3.00,2.00
385173.81,-1.90,-3.60,20.80,21.90,0.50,2.00,3.00,2.00
385174.69,-1.80,-3.50,21.00,22.30,0.50,2.00,3.00,1.50
385175.31,-1.80,-3.60,21.20,22.40,0.50,2.00,2.50,1.50
385175.94,-1.80,-3.50,21.40,22.40,0.00,1.50,2.50,1.50
385176.56,-1.90,-3.40,21.60,22.40,0.50,1.50,2.50,1.50
385177.19,-2.00,-3.50,21.80,22.50,0.50,1.50,2.00,1.50
385177.81,-2.10,-3.50,21.90,22.60,0.50,1.50,2.00,1.50
385178.43,-2.30,-3.30,21.90,22.70,0.50,1.50,2.00,1.00
385179.18,-2.50,-3.40,21.80,22.70,1.00,1.50,2.00,1.00
385179.81,-2.50,-3.40,21.80,22.60,1.00,1.50,2.00,1.00
385180.43,-2.30,-3.20,21.70,22.40,1.00,1.50,2.00,1.50
385181.06,-2.20,-3.10,21.40,22.10,0.50,1.00,2.00,1.50
385181.68,-2.10,-3.10,21.10,21.90,0.50,1.00,2.50,1.50
385182.43,-2.10,-3.10,21.00,21.70,0.50,1.00,3.00,2.50
385183.05,-2.20,-3.20,21.10,21.80,0.50,1.50,2.50,2.00
385183.68,-2.30,-3.30,21.20,21.80,0.50,1.50,2.50,2.00
385184.30,-2.20,-3.10,21.10,21.50,0.50,1.00,2.50,2.00
385185.05,-1.90,-2.70,21.10,21.20,0.50,1.00,2.50,2.50
385185.67,-1.80,-2.60,21.00,21.00,0.00,0.50,3.00,3.00
385186.30,-1.70,-2.60,20.90,20.90,0.00,0.50,3.00,3.00
385186.92,-1.80,-2.90,20.90,21.00,0.00,1.00,3.00,3.00
385187.55,-1.90,-3.10,21.10,21.20,0.00,1.00,2.50,2.50
385188.17,-2.00,-3.20,21.10,21.40,0.50,1.50,2.50,2.00
385188.92,-2.10,-3.30,21.00,21.50,0.50,1.50,3.00,2.50
385189.55,-2.10,-3.10,20.90,21.60,0.50,1.00,2.50,2.00
385190.17,-2.10,-3.20,20.80,21.60,0.50,1.50,3.00,2.00
385190.79,-2.00,-3.10,20.80,21.60,0.00,1.00,3.00,2.00
385191.42,-1.90,-2.90,20.70,21.50,0.00,1.00,3.50,2.50
385192.17,-1.80,-2.70,20.60,21.40,0.50,1.00,3.00,2.00
385192.79,-1.90,-2.90,20.60,21.50,0.00,1.00,3.00,2.00
385193.42,-1.90,-3.10,20.70,21.50,0.00,1.00,3.00,2.00
385194.04,-1.80,-2.90,20.80,21.60,0.00,1.00,3.00,2.00
385194.66,-1.60,-2.60,20.90,21.50,0.00,0.50,3.00,2.50
385195.41,-1.50,-2.30,21.00,21.60,0.00,0.50,2.50,2.00
385196.04,-1.50,-2.00,21.10,21.80,0.00,0.00,2.50,2.00
385196.66,-1.50,-2.00,21.40,22.00,0.00,0.00,2.50,2.00
385197.29,-1.30,-1.60,21.70,22.10,-0.50,-0.50,2.00,1.50
385197.91,-1.00,-1.30,22.00,22.10,-1.00,-1.00,1.50,1.50
385198.66,-0.70,-1.40,22.30,22.10,-1.00,-0.50,1.50,1.50
385199.28,-0.60,-1.50,22.40,22.20,-1.00,-0.50,1.50,1.50
385199.91,-0.50,-1.60,22.40,22.10,-1.50,-0.50,1.50,2.00
385200.53,-0.30,-1.20,22.10,21.90,-1.50,-1.00,2.00,2.00
385201.16,-0.30,-0.80,21.90,21.80,-1.50,-1.00,2.00,2.00
385201.91,-0.40,-0.90,21.90,22.00,-1.50,-1.00,2.00,2.00
385202.53,-0.70,-1.10,21.80,22.10,-1.00,-1.00,2.00,1.50
385203.15,-0.80,-1.40,21.70,22.10,-1.00,-0.50,2.00,1.50
385203.78,-0.90,-1.60,21.60,21.90,-1.00,-0.50,2.50,2.00
385204.40,-1.00,-1.80,21.40,21.80,-1.00,-0.50,2.50,2.00
385205.15,-1.20,-1.80,21.20,21.70,-1.00,-0.50,3.00,2.50
385205.78,-1.40,-1.90,21.10,21.70,-0.50,0.00,3.00,2.50
385206.40,-1.40,-1.80,21.00,21.70,-0.50,-0.50,3.00,2.50
385207.03,-1.40,-1.70,21.20,21.80,-0.50,-0.50,2.50,2.00
385207.65,-1.20,-1.50,21.40,21.90,-0.50,-0.50,2.50,2.00
385208.40,-1.10,-1.60,21.70,22.00,-1.00,-0.50,2.50,2.00
385209.02,-1.20,-1.80,21.90,22.10,-0.50,0.00,2.00,2.00
385209.65,-1.40,-2.00,22.10,22.20,-0.50,0.00,2.00,2.00
385210.27,-1.40,-2.10,22.20,22.30,-0.50,0.00,2.00,2.00
385211.02,-1.40,-2.20,22.30,22.40,-0.50,0.00,2.00,2.00
385211.64,-1.50,-2.30,22.30,22.30,-0.50,0.00,2.00,2.00
385212.27,-1.60,-2.40,22.00,22.10,-0.50,0.00,2.00,2.00
385212.89,-1.70,-2.50,21.50,21.80,0.00,0.50,2.50,2.00
385213.52,-1.70,-2.40,21.10,21.40,-0.50,0.00,3.00,2.50
385214.14,-1.60,-2.40,20.90,21.30,-0.50,0.00,3.50,3.00
385214.89,-1.60,-2.80,21.00,21.30,-0.50,0.50,3.50,3.00
385215.52,-1.80,-2.90,21.10,21.40,0.00,1.00,3.50,3.00
385216.14,-2.10,-3.00,21.20,21.60,0.00,0.50,3.50,3.00
385216.76,-2.20,-2.90,21.30,21.80,0.00,0.50,3.00,2.50
385217.39,-2.30,-3.00,21.30,21.90,0.00,0.50,3.00,2.50
385218.14,-2.50,-3.10,21.10,21.70,0.50,1.00,3.50,3.00
385218.76,-2.40,-3.10,20.90,21.50,0.50,1.00,3.50,3.00
385219.39,-2.40,-3.30,20.80,21.30,0.50,1.00,4.00,3.50
385220.01,-2.60,-3.20,20.80,21.20,0.50,1.00,4.00,3.50
385220.63,-2.90,-3.40,20.80,21.30,1.00,1.00,4.00,3.50
385221.38,-2.80,-3.30,20.70,21.30,0.50,1.00,4.00,3.50
385222.01,-2.70,-3.20,20.60,21.30,0.50,1.00,4.00,3.50
385222.63,-2.80,-3.40,20.50,21.20,0.50,1.00,4.00,3.50
385223.26,-2.90,-3.50,20.40,21.00,1.00,1.50,4.50,4.00
385223.88,-2.90,-3.50,20.40,21.00,1.00,1.50,4.50,4.00
385224.63,-2.80,-3.40,20.70,21.00,0.50,1.00,4.50,4.00
