135500,-7.8,10.5
135500.625,-7.5,10.1
135501.25,-7.2,9.8
135501.875,-7.1,9.6
135502.5,-6.5,9.2
135503.125,-6.3,8.8
135503.75,-6.4,8.7
135504.375,-5.8,8.6
135505,-5.3,8.4
135505.625,-4.9,8.3
135506.25,-5,8.3
135506.875,-4.8,8.1
135507.5,-4.4,7.5
135508.125,-3.9,6.8
135508.75,-4.1,5.7
135509.375,-3.9,4.4
135510,-3.5,3.1
135510.625,-3.4,2.4
135511.25,-2.9,2.3
135511.875,-2.4,2.2
135512.5,-2,2.3
135513.125,-2.2,2.7
135513.75,-2,3.4
135514.375,-1.9,4
135515,-1.9,4.9
135515.625,-2.3,5.6
135516.25,-2.3,6
135516.875,-2.5,6.1
135517.5,-2.4,6.2
135518.125,-2.3,5.9
135518.75,-2.6,5.5
135519.375,-2.7,5.3
135520,-2.9,5.5
135520.625,-2.8,5.6
135521.25,-2.8,5.3
135521.875,-2.9,4.9
135522.5,-2.6,4.5
135523.125,-2.2,4
135523.75,-2.4,3.4
135524.375,-2.5,3.1
135525,-3.2,2.8
135525.625,-3.4,2.2
135526.25,-3,1.3
135526.875,-2.5,0.6
135527.5,-2,0
135528.125,-1.7,-0.4
135528.75,-2,-0.4
135529.375,-2,0.2
135530,-2,0.9
135530.625,-1.5,1.3
135531.25,-1,1.6
135531.875,-0.3,2
135532.5,0.4,2.2
135533.125,1.2,1.9
135533.75,1.3,1.8
135534.375,1.5,2
135535,1.4,2.2
135535.625,1,2.3
135536.25,1,2.3
135536.875,1.1,1.9
135537.5,0.8,1.3
135538.125,1,0.9
135538.75,1.4,0.7
135539.375,1.3,0.6
135540,1.6,0.1
135540.625,1.7,-0.7
135541.25,1.5,-1.6
135541.875,1.6,-2.7
135542.5,1.5,-3.6
135543.125,1.9,-3.8
135543.75,2.4,-3.4
135544.375,2.5,-2.7
135545,3.1,-1.7
135545.625,3.7,-0.8
135546.25,4.2,-0.4
135546.875,4.4,-0.6
135547.5,4.1,-0.9
135548.125,4.3,-1
135548.75,4.6,-1.3
135549.375,4.9,-1.8
135550,4.7,-2.1
135550.625,4.6,-2
135551.25,4.1,-2
135551.875,4,-2.4
135552.5,4.2,-2.6
135553.125,4.1,-2.8
135553.75,3.9,-3
135554.375,3.4,-3
135555,3.3,-2.8
135555.625,3.2,-2.4
135556.25,2.7,-2.3
135556.875,2.2,-2.3
135557.5,2.2,-2.2
135558.125,2.3,-2.3
135558.75,3.2,-2.3
135559.375,4.1,-2.2
135560,4.7,-2.1
135560.625,5,-2.2
135561.25,4.7,-1.9
135561.875,4.7,-1.6
135562.5,4.7,-1.3
135563.125,4.7,-0.9
135563.75,5.1,-0.8
135564.375,5.6,-1.2
135565,5.9,-1.6
135565.625,5.6,-1.5
135566.25,5.6,-1
135566.875,5.6,-0.4
135567.5,5.1,0
135568.125,5.2,0.5
135568.75,5.5,0.8
135569.375,5.2,0.3
135570,5,-0.4
135570.625,4.6,-1
135571.25,4.5,-1.4
135571.875,4.1,-1.9
135572.5,4.2,-2.4
135573.125,4.4,-2.8
135573.75,4.1,-3.3
135574.375,4.1,-4
135575,3.7,-4.6
135575.625,3.7,-4.8
135576.25,3.3,-5.1
135576.875,3.3,-5.2
135577.5,3.5,-4.6
135578.125,3.6,-3.8
135578.75,4,-3.3
135579.375,4.3,-3.2
135580,4.2,-3.2
135580.625,4.4,-3.2
135581.25,4.5,-3.3
135581.875,4,-3.3
135582.5,3.8,-3.2
135583.125,3.6,-3.4
135583.75,3.1,-3.4
135584.375,3.1,-2.9
135585,2.8,-2.2
135585.625,2.7,-2.1
135586.25,2.4,-2.5
135586.875,2.6,-2.6
135587.5,2.9,-2.7
135588.125,3.2,-3
135588.75,3.5,-3.3
135589.375,3.9,-3.2
135590,3.9,-3.2
135590.625,4.1,-3.2
135591.25,4.2,-2.7
135591.875,3.9,-1.7
135592.5,3.9,-1.2
135593.125,3.9,-1.4
135593.75,3.4,-1.6
135594.375,3.4,-1.4
135595,3.3,-1
135595.625,3.2,-0.5
135596.25,3.2,0.5
135596.875,3,1.6
135597.5,3,2.4
135598.125,2.6,3.1
135598.75,2.5,3.8
135599.375,2.3,4.2
135600,2.7,4.3
135600.625,2.9,4.5
135601.25,2.9,4.8
135601.875,3.1,5
135602.5,3.2,5.1
135603.125,3,5.3
135603.75,3.4,5.4
135604.375,3.7,5
135605,3.4,4.5
135605.625,3.5,4.5
135606.25,3.9,4.7
135606.875,4.1,4.6
135607.5,3.7,4.5
135608.125,3.6,4.7
135608.75,3.1,4.5
135609.375,2.9,3.8
135610,2.6,3.3
135610.625,2.7,3.2
135611.25,2.6,3.1
135611.875,2.8,3
135612.5,3.3,3.1
135613.125,3.8,3.2
135613.75,4,3.1
135614.375,4.4,2.9
135615,4.5,2.8
135615.625,4.1,2.8
135616.25,4.1,2.8
135616.875,4.1,2.8
135617.5,4.1,2.9
135618.125,4.5,2.9
135618.75,5,2.9
135619.375,5,2.8
135620,5,2.5
135620.625,5,1.9
135621.25,4.8,1.4
135621.875,4.9,1.5
135622.5,5.2,1.7
135623.125,5,1.6
135623.75,5.1,1.5
135624.375,5.1,1.7
135625,5,2
135625.625,5.2,2
135626.25,5.1,2
135626.875,4.7,2
135627.5,4.7,2.1
135628.125,4.5,2.4
135628.75,4.7,3
135629.375,4.6,3.7
135630,4.1,4.1
135630.625,4.1,4.7
135631.25,3.8,5.4
135631.875,4,6.1
135632.5,4.4,6.5
135633.125,4.3,6.4
135633.75,4.5,6.1
135634.375,4.3,5.8
135635,4.5,5.7
135635.625,4.8,5.9
135636.25,4.9,6.3
135636.875,5.1,6.6
135637.5,5.3,7
135638.125,5.5,7.6
135638.75,5.4,7.9
135639.375,5.5,7.9
135640,5.1,7.8
135640.625,5,7.5
135641.25,5.2,6.9
135641.875,5.3,6.3
135642.5,5.5,6.1
135643.125,5.6,6.4
135643.75,5.3,6.6
135644.375,5.4,6.6
135645,5.3,6.7
135645.625,4.9,6.9
135646.25,4.7,6.9
135646.875,4.1,6.9
135647.5,4.2,7.1
135648.125,4.4,7.3
135648.75,4.3,7.5
135649.375,4.5,8
135650,4.3,8.5
135650.625,4.5,8.7
135651.25,4.7,8.6
135651.875,4.6,8.4
135652.5,4.7,8.3
135653.125,4.7,8
135653.75,4.4,7.9
135654.375,4.6,7.8
135655,4.7,7.5
135655.625,4.3,7.1
135656.25,4.1,7.1
135656.875,4,7.5
135657.5,3.2,7.6
135658.125,2.3,7
135658.75,1.9,6.6
135659.375,1.5,6.1
135660,1.7,5.8
135660.625,1.9,5.8
135661.25,2.3,6
135661.875,2.6,6.1
135662.5,2.6,6.2
135663.125,3,6.1
135663.75,3,6.2
135664.375,2.6,6.6
135665,2.8,6.9
135665.625,3.2,7.4
135666.25,3.8,7.9
135666.875,3.8,8.1
135667.5,3.9,7.7
135668.125,3.9,7.2
135668.75,3.5,6.9
135669.375,3.3,6.8
135670,2.7,6.8
135670.625,2.4,6.6
135671.25,2.4,6.5
135671.875,2.2,6.2
135672.5,2.2,5.9
135673.125,1.6,5.7
135673.75,1.6,5.5
135674.375,1.4,5.4
135675,1.6,5.4
135675.625,1.3,5.5
135676.25,1.2,5.6
135676.875,1.4,5.7
135677.5,1.3,5.9
135678.125,1.6,6.3
135678.75,1.7,6.5
135679.375,1.2,6.7
135680,1,7.1
135680.625,0.7,7.5
135681.25,0.9,7.7
135681.875,1,7.8
135682.5,0.5,7.9
135683.125,0.4,8.2
135683.75,0.3,8.2
135684.375,0,8.2
135685,0,8.3
135685.625,-0.5,8.2
135686.25,-0.9,7.7
135686.875,-1.5,7.4
135687.5,-1.5,7.4
135688.125,-1.6,7.3
135688.75,-1.3,7
135689.375,-1.2,6.5
135690,-0.9,6
135690.625,-0.4,5.5
135691.25,-0.2,5
135691.875,-0.4,4.6
135692.5,-0.5,4
135693.125,-0.5,3.4
135693.75,-0.7,3.1
135694.375,-0.6,3.1
135695,-0.6,3.2
135695.625,-1,3.5
135696.25,-1,3.9
